,Stay_Rihanna
0,rihanna
1,along
2,fever
3,cold
4,sweat
5,hot-headed
6,believer
7,threw
8,hands
9,air
10,said
11,show
12,something
13,said
14,“if
15,dare
16,come
17,little
18,closer”
19,pre-chorus
20,rihanna
21,round
22,around
23,around
24,around
25,go
26,oh
27,tell
28,tell
29,tell
30,know
31,rihanna
32,really
33,sure
34,feel
35,something
36,way
37,move
38,makes
39,feel
40,like
41,can't
42,live
43,without
44,takes
45,way
46,want
47,stay
48,mikky
49,ekko
50,much
51,life
52,living
53,something
54,take
55,given
56,pre-chorus
57,mikky
58,ekko
59,round
60,around
61,around
62,around
63,go
64,oh
65,tell
66,tell
67,tell
68,know
69,mikky
70,ekko
71,really
72,sure
73,feel
74,something
75,way
76,move
77,makes
78,feel
79,like
80,can't
81,live
82,without
83,takes
84,way
85,want
86,stay
87,bridge
88,rihanna
89,&
90,mikky
91,ekko
92,ooh
93,reason
94,hold
95,ooh
96,'cause
97,need
98,hole
99,gone
100,funny
101,broken
102,one
103,i'm
104,one
105,needed
106,saving
107,'cause
108,never
109,see
110,light
111,hard
112,know
113,one
114,us
115,caving
116,rihanna
117,&
118,mikky
119,ekko
120,really
121,sure
122,feel
123,something
124,way
125,move
126,makes
127,feel
128,like
129,can't
130,live
131,without
132,takes
133,way
134,want
135,stay
136,outro
137,rihanna
138,&
139,mikky
140,ekko
141,stay
142,want
143,stay
144,ooh
