,Without You_Mariah Carey
0,i
1,can't
2,forget
3,evening
4,your
5,face
6,you
7,leaving
8,i
9,guess
10,that's
11,way
12,story
13,goes
14,you
15,always
16,smile
17,your
18,eyes
19,your
20,sorrow
21,shows
22,yes
23,shows
24,i
25,can't
26,forget
27,tomorrow
28,i
29,think
30,my
31,sorrow
32,i
33,you
34,i
35,let
36,you
37,go
38,fair
39,i
40,let
41,you
42,know
43,you
44,know
45,i
46,can't
47,live
48,living
49,without
50,you
51,i
52,can't
53,live
54,i
55,can't
56,give
57,anymore
58,i
59,can't
60,live
61,living
62,without
63,you
64,i
65,can't
66,give
67,i
68,can't
69,give
70,anymore
71,well
72,i
73,can't
74,forget
75,evening
76,your
77,face
78,you
79,leaving
80,i
81,guess
82,that's
83,way
84,story
85,goes
86,you
87,always
88,smile
89,your
90,eyes
91,your
92,sorrow
93,show
94,yes
95,shows
96,i
97,can't
98,live
99,living
100,without
101,you
102,i
103,can't
104,live
105,i
106,can't
107,give
108,anymore
109,i
110,can't
111,live
112,living
113,without
114,you
115,i
116,can't
117,live
118,i
119,can't
120,give
121,anymore
122,can't
123,live
124,i
125,can't
126,live
127,hey
128,i
129,can't
130,live
131,can't
132,live
133,living
134,without
135,you
136,i
137,can't
138,live
139,i
140,can't
141,live
142,i
143,can't
144,give
145,anymore
146,can't
147,live
148,can't
149,live
150,i
151,can't
152,live
