,Stripped_Depeche Mode
0,dave
1,gahan
2,come
3,trees
4,we'll
5,lay
6,grass
7,let
8,hours
9,pass
10,take
11,hand
12,come
13,back
14,land
15,let's
16,get
17,away
18,one
19,day
20,dave
21,gahan
22,let
23,see
24,stripped
25,bone
26,let
27,see
28,stripped
29,bone
30,interlude
31,dave
32,gahan
33,metropolis
34,nothing
35,breathing
36,fumes
37,taste
38,kiss
39,take
40,hand
41,come
42,back
43,land
44,everything's
45,hours
46,dave
47,gahan
48,let
49,see
50,stripped
51,bone
52,let
53,see
54,stripped
55,bone
56,post-chorus
57,dave
58,gahan
59,let
60,hear
61,make
62,decisions
63,without
64,television
65,let
66,hear
67,speaking
68,interlude
69,dave
70,gahan
71,&
72,l
73,gore
74,let
75,see
76,stripped
77,bone
78,let
79,hear
80,speaking
81,let
82,see
83,stripped
84,bone
85,let
86,hear
87,crying
88,let
89,see
90,stripped
91,bone
92,let
93,hear
94,speaking
