,Maybe I'm Amazed_Paul McCartney
0,baby
1,i'm
2,amazed
3,way
4,love
5,time
6,maybe
7,i'm
8,afraid
9,way
10,love
11,maybe
12,i'm
13,amazed
14,way
15,pulled
16,time
17,hung
18,line
19,maybe
20,i'm
21,amazed
22,way
23,really
24,need
25,baby
26,i'm
27,man
28,maybe
29,i'm
30,lonely
31,man
32,who's
33,middle
34,something
35,really
36,understand
37,baby
38,i'm
39,man
40,maybe
41,woman
42,could
43,ever
44,help
45,baby
46,help
47,understand
48,oohah
49,baby
50,i'm
51,man
52,maybe
53,i'm
54,lonely
55,man
56,who's
57,middle
58,something
59,really
60,understand
61,baby
62,i'm
63,man
64,maybe
65,woman
66,could
67,ever
68,help
69,baby
70,help
71,understand
72,oohah
73,maybe
74,i'm
75,amazed
76,way
77,time
78,maybe
79,i'm
80,afraid
81,way
82,leave
83,maybe
84,i'm
85,amazed
86,way
87,help
88,sing
89,song
90,right
91,i'm
92,wrong
93,baby
94,i'm
95,amazed
96,way
97,really
98,need
99,oh
100,oh
101,oh
102,heyheyhey
103,oh
104,oh
105,oh
106,oohoohooh
107,yeah
108,yeah
109,yeah
110,ooh
