,I Will Follow You Into The Dark_Death Cab for Cutie
0,love
1,mine
2,someday
3,you
4,die
5,i'll
6,close
7,behind
8,i'll
9,follow
10,you
11,dark
12,blinding
13,light
14,tunnels
15,gates
16,white
17,hands
18,clasped
19,tight
20,waiting
21,hint
22,spark
23,heaven
24,hell
25,decide
26,satisfied
27,illuminate
28,nos
29,vacancy
30,signs
31,there's
32,one
33,beside
34,you
35,your
36,soul
37,embarks
38,i'll
39,follow
40,you
41,dark
42,catholic
43,school
44,vicious
45,roman
46,rule
47,i
48,got
49,my
50,knuckles
51,bruised
52,lady
53,black
54,i
55,held
56,my
57,tongue
58,she
59,told
60,me
61,son
62,fear
63,heart
64,love
65,i
66,never
67,went
68,back
69,heaven
70,hell
71,decide
72,satisfied
73,illuminate
74,nos
75,vacancy
76,signs
77,there's
78,one
79,beside
80,you
81,your
82,soul
83,embarks
84,i'll
85,follow
86,you
87,dark
88,you
89,me
90,seen
91,everything
92,see
93,bangkok
94,calgary
95,soles
96,your
97,shoes
98,worn
99,time
100,sleep
101,nothing
102,cry
103,'cause
104,we'll
105,hold
106,soon
107,blackest
108,rooms
109,heaven
110,hell
111,decide
112,satisfied
113,illuminate
114,nos
115,vacancy
116,signs
117,there's
118,one
119,beside
120,you
121,your
122,soul
123,embarks
124,i'll
125,follow
126,you
127,dark
128,i'll
129,follow
130,you
131,dark
