,You'll Be In My Heart_Phil Collins
0,come
1,stop
2,your
3,crying
4,alright
5,take
6,my
7,hand
8,hold
9,tight
10,i
11,protect
12,you
13,around
14,you
15,i
16,you
17,cry
18,one
19,small
20,you
21,seem
22,strong
23,my
24,arms
25,hold
26,you
27,keep
28,you
29,safe
30,warm
31,bond
32,us
33,can't
34,broken
35,i
36,you
37,cry
38,cause
39,you'll
40,my
41,heart
42,yes
43,you'll
44,my
45,heart
46,day
47,forever
48,you'll
49,my
50,heart
51,matter
52,say
53,you'll
54,my
55,heart
56,always
57,can't
58,understand
59,way
60,feel
61,trust
62,can't
63,explain
64,i
65,know
66,we're
67,different
68,deep
69,inside
70,us
71,we're
72,different
73,you'll
74,my
75,heart
76,yes
77,you'll
78,my
79,heart
80,day
81,forever
82,listen
83,'cause
84,know
85,need
86,hold
87,they'll
88,see
89,time
90,i
91,know
92,destiny
93,calls
94,you
95,you
96,must
97,strong
98,i
99,may
100,you
101,you've
102,got
103,hold
104,they'll
105,see
106,time
107,i
108,know
109,we'll
110,show
111,together
112,cause
113,you'll
114,my
115,heart
116,believe
117,me
118,you'll
119,my
120,heart
121,i'll
122,day
123,forever
124,you'll
125,my
126,heart
127,you'll
128,my
129,heart
130,matter
131,say
132,i'll
133,you
134,you'll
135,my
136,heart
137,i'll
138,always
139,always
140,i'll
141,you
142,i'll
143,you
144,always
145,always
146,always
147,look
148,your
149,shoulder
150,look
151,your
152,shoulder
153,look
154,your
155,shoulder
156,i'll
157,always
