,After Hours_The Velvet Underground
0,1-2-3
1,close
2,door
3,night
4,could
5,last
6,forever
7,leave
8,sunshine
9,say
10,hello
11,never
12,people
13,dancing
14,they're
15,fun
16,wish
17,could
18,happen
19,close
20,door
21,i'd
22,never
23,see
24,day
25,close
26,door
27,night
28,could
29,last
30,forever
31,leave
32,wineglass
33,drink
34,toast
35,never
36,oh
37,someday
38,know
39,someone
40,look
41,eyes
42,say
43,hello
44,--
45,special
46,one--
47,close
48,door
49,i'd
50,never
51,see
52,day
53,bridge
54,dark
55,party
56,bars
57,shiny
58,cadillac
59,cars
60,people
61,subways
62,trains
63,looking
64,gray
65,rain
66,stand
67,disarrayed
68,oh
69,people
70,look
71,well
72,dark
73,close
74,door
75,night
76,could
77,last
78,forever
79,leave
80,sunshine
81,say
82,hello
83,never
84,people
85,dancing
86,they're
87,fun
88,wish
89,could
90,happen
91,outro
92,cause
93,close
94,door
95,i'd
96,never
97,see
98,day
99,i'd
100,never
101,see
102,day
103,i'd
104,never
105,see
106,day
