,Stop Me If You Think You've Heard This One Before_The Smiths
0,stop
1,oh
2,stop
3,stop
4,think
5,heard
6,one
7,stop
8,oh
9,stop
10,stop
11,think
12,heard
13,one
14,nothing's
15,changed
16,still
17,love
18,oh
19,still
20,love
21,slightly
22,slightly
23,less
24,used
25,love
26,delayed
27,way-laid
28,emergency
29,stop
30,smelt
31,last
32,ten
33,seconds
34,life
35,crashed
36,crossbar
37,pain
38,enough
39,make
40,shy
41,bald
42,buddhist
43,reflect
44,plan
45,mass
46,murder
47,said
48,i'd
49,lied
50,oh
51,said
52,i'd
53,lied
54,never
55,never
56,said
57,i'd
58,lied
59,never
60,detained
61,restrained
62,broke
63,spleen
64,broke
65,knee
66,really
67,laced
68,friday
69,night
70,out-patients
71,said
72,i'd
73,lied
74,oh
75,said
76,i'd
77,lied
78,-
79,never
80,never
81,said
82,i'd
83,lied
84,-
85,never
86,oh
87,drank
88,one
89,became
90,four
91,fell
92,floor
93,drank
94,stop
95,oh
96,stop
97,stop
98,think
99,heard
100,one
101,stop
102,oh
103,stop
104,stop
105,think
106,heard
107,one
108,nothing's
109,changed
110,still
111,love
112,oh
113,still
114,love
115,slightly
116,slightly
117,less
118,used
119,love
