,I'll Be There_The Jackson 5
0,you
1,i
2,must
3,make
4,pact
5,must
6,bring
7,salvation
8,back
9,love
10,i'll
11,i'll
12,reach
13,my
14,hand
15,you
16,i'll
17,faith
18,you
19,call
20,my
21,name
22,i'll
23,oh
24,i'll
25,comfort
26,you
27,build
28,my
29,world
30,dreams
31,around
32,you
33,i'm
34,glad
35,i
36,found
37,you
38,i'll
39,love
40,that's
41,strong
42,i'll
43,your
44,strength
45,i'll
46,keep
47,holding
48,yes
49,i
50,yes
51,i
52,let
53,me
54,fill
55,your
56,heart
57,joy
58,laughter
59,togetherness
60,well
61,that's
62,i'm
63,whenever
64,you
65,need
66,me
67,i'll
68,i'll
69,protect
70,you
71,unselfish
72,love
73,i
74,respect
75,you
76,call
77,my
78,name
79,i'll
80,oh
81,i'll
82,comfort
83,you
84,build
85,my
86,world
87,dreams
88,around
89,you
90,i'm
91,glad
92,i
93,found
94,you
95,i'll
96,love
97,that's
98,strong
99,i'll
100,your
101,strength
102,i'll
103,keep
104,holding
105,yes
106,i
107,yes
108,i
109,you
110,ever
111,find
112,someone
113,new
114,i
115,know
116,he'd
117,better
118,good
119,you
120,'cos
121,he
122,i'll
123,you
124,know
125,baby
126,yeah
127,yeah
128,i'll
129,i'll
130,call
131,my
132,name
133,i'll
134,look
135,your
136,shoulders
137,honey
138,ooh
139,i'll
140,i'll
141,whenever
142,you
143,need
144,me
145,i'll
146,you
147,know
148,baby
149,yeah
150,yeah
