,Shine_Benjamin Francis Leftwich
0,could
1,live
2,different
3,place
4,different
5,house
6,different
7,name
8,could
9,sing
10,favorite
11,song
12,yeah
13,sing
14,along
15,sing
16,along
17,could
18,wrap
19,favorite
20,clothes
21,kiss
22,face
23,know
24,i'm
25,one
26,got
27,back
28,turn
29,around
30,sad
31,hope
32,find
33,love
34,that's
35,true
36,morning
37,light
38,shine
39,hope
40,find
41,looking
42,heart
43,warm
44,forever
45,could
46,fly
47,away
48,furthest
49,place
50,ever
51,could
52,smoke
53,'til
54,sun
55,goes
56,without
57,sound
58,without
59,sound
60,we'd
61,fall
62,asleep
63,big
64,blue
65,sea
66,open
67,eyes
68,could
69,see
70,way
71,shines
72,know
73,it'll
74,shine
75,fly
76,hope
77,find
78,love
79,that's
80,true
81,morning
82,light
83,shine
84,hope
85,find
86,looking
87,heart
88,warm
89,forever
90,bridge
91,could
92,wait
93,water
94,could
95,wait
96,winter
97,come
98,could
99,stand
100,snow
101,boots
102,hope
103,find
104,love
105,that's
106,true
107,morning
108,light
109,shine
110,hope
111,find
112,looking
113,heart
114,warm
115,forever
116,outro
117,hope
118,find
119,looking
120,heart
121,warm
122,forever
