,Across the Sea_Weezer
0,you
1,eighteen
2,yearold
3,girl
4,live
5,small
6,city
7,japan
8,you
9,heard
10,me
11,radio
12,one
13,year
14,ago
15,you
16,wanted
17,know
18,me
19,my
20,hobbies
21,my
22,favorite
23,food
24,my
25,birthday
26,you
27,far
28,away
29,me
30,i
31,need
32,help
33,you're
34,way
35,across
36,sea
37,i
38,could
39,never
40,touch
41,you
42,–
43,i
44,think
45,would
46,wrong
47,i've
48,got
49,your
50,letter
51,you've
52,got
53,my
54,song
55,make
56,stationery
57,like
58,i'm
59,fragile
60,refined
61,i
62,sniff
63,i
64,lick
65,your
66,envelope
67,fall
68,little
69,pieces
70,every
71,time
72,i
73,wonder
74,clothes
75,you
76,wear
77,school
78,i
79,wonder
80,you
81,decorate
82,your
83,room
84,i
85,wonder
86,you
87,touch
88,yourself
89,curse
90,myself
91,across
92,sea
93,you
94,far
95,away
96,me
97,i
98,need
99,help
100,you're
101,way
102,across
103,sea
104,i
105,could
106,never
107,touch
108,you
109,–
110,i
111,think
112,would
113,wrong
114,i've
115,got
116,your
117,letter
118,you've
119,got
120,my
121,song
122,guitar
123,solo
124,i
125,shaved
126,my
127,head
128,tried
129,monk
130,i
131,thought
132,older
133,women
134,would
135,like
136,me
137,i
138,you
139,see
140,i'm
141,good
142,little
143,boy
144,good
145,little
146,boy
147,your
148,fault
149,momma
150,your
151,fault
152,goddamn
153,business
154,really
155,lame
156,i
157,gotta
158,live
159,island
160,find
161,juice
162,you
163,send
164,me
165,your
166,love
167,around
168,world
169,i
170,could
171,live
172,words
173,dreams
174,million
175,screams
176,oh
177,i
178,need
179,hand
180,mine
181,feel
182,you
183,far
184,away
185,me
186,you
187,far
188,away
189,me
190,i
191,could
192,never
193,touch
194,you
195,–
196,i
197,think
198,would
199,wrong
200,i've
201,got
202,your
203,letter
204,you've
205,got
206,my
207,song
208,i've
209,got
210,your
211,letter
212,i've
213,got
214,your
215,letter
216,you've
217,got
218,my
219,song
