,I'll Be Back_The Beatles
0,you
1,know
2,you
3,break
4,my
5,heart
6,i'll
7,go
8,i'll
9,back
10,'cause
11,i
12,told
13,you
14,goodbye
15,i
16,came
17,back
18,i
19,love
20,you
21,i'm
22,one
23,wants
24,you
25,yes
26,i'm
27,one
28,wants
29,you
30,oh
31,ho
32,oh
33,ho
34,oh
35,you
36,could
37,find
38,better
39,things
40,break
41,my
42,heart
43,time
44,i
45,try
46,show
47,i'm
48,trying
49,pretend
50,i
51,thought
52,you
53,would
54,realize
55,i
56,ran
57,away
58,you
59,you
60,would
61,want
62,me
63,i
64,got
65,big
66,surprise
67,oh
68,ho
69,oh
70,ho
71,oh
72,you
73,could
74,find
75,better
76,things
77,break
78,my
79,heart
80,time
81,i
82,try
83,show
84,i'm
85,trying
86,pretend
87,i
88,wanna
89,go
90,i
91,hate
92,leave
93,you
94,you
95,know
96,i
97,hate
98,leave
99,you
100,oh
101,ho
102,oh
103,ho
104,oh
105,you
106,you
107,break
108,my
109,heart
110,i'll
111,go
112,i'll
113,back
