,Yes I'm Changing_Tame Impala
0,raging
1,late
2,world
3,demons
4,cultivate
5,felt
6,strangest
7,emotion
8,hate
9,yes
10,i'm
11,changing
12,yes
13,i'm
14,gone
15,yes
16,i'm
17,older
18,yes
19,i'm
20,moving
21,think
22,crime
23,come
24,along
25,life
26,moving
27,can't
28,see
29,there's
30,future
31,left
32,hoping
33,searching
34,endlessly
35,baby
36,there's
37,nothing
38,left
39,blue
40,another
41,future
42,waiting
43,saw
44,different
45,must
46,admit
47,caught
48,glimpse
49,i'm
50,going
51,say
52,people
53,never
54,change
55,that's
56,bullshit
57,yes
58,i'm
59,changing
60,can't
61,stop
62,even
63,wanted
64,know
65,another
66,version
67,think
68,i've
69,found
70,last
71,can't
72,always
73,hide
74,away
75,curse
76,indulgence
77,despise
78,fame
79,world
80,calling
81,name
82,calling
83,girl
84,calling
85,calling
86,calling
87,calling
88,outro
89,calling
90,arise
91,walk
92,time
93,rolls
94,world
95,beyond
96,door
97,calling
98,time
99,rolls
100,arise
101,walk
102,calling
103,listen
104,call
105,arise
106,walk
107,come
108,world
109,beyond
110,door
111,listen
112,call
113,calling
