,Mountain At My Gates_Foals
0,see
1,mountain
2,gates
3,see
4,day
5,give
6,takes
7,away
8,whether
9,go
10,stay
11,see
12,mountain
13,gates
14,see
15,day
16,see
17,fire
18,lake
19,i'll
20,drive
21,car
22,without
23,brakes
24,see
25,mountain
26,way
27,looming
28,larger
29,day
30,see
31,darkness
32,fate
33,i'll
34,drive
35,car
36,without
37,brakes
38,oh
39,gimme
40,time
41,show
42,foothold
43,climb
44,yeah
45,feel
46,low
47,show
48,signpost
49,go
50,see
51,mountain
52,gates
53,see
54,day
55,desire
56,wears
57,dark
58,dress
59,ah
60,day
61,see
62,less
63,oh
64,gimme
65,time
66,show
67,foothold
68,climb
69,yeah
70,feel
71,low
72,show
73,signpost
74,go
75,bridge
76,lanes
77,stone
78,rows
79,black
80,granite
81,wind
82,blows
83,fire
84,lake
85,far
86,flame
87,go
88,come
89,dark
90,clouds
91,gather
92,'round
93,run
94,stand
95,ground
96,alternative
97,oh
98,come
99,climb
100,show
101,mountain
102,far
103,behind
104,yeah
105,farther
106,away
107,shadow
108,gets
109,smaller
110,day
111,day
112,outro
113,yeah
114,gimme
115,way
116,gimme
117,love
118,gimme
119,choice
120,keep
121,coming
122,around
123,gimme
124,fate
125,gimme
126,lungs
127,gimme
128,voice
129,keep
130,coming
131,around
132,gimme
133,lungs
134,gimme
135,gimme
136,gimme
137,gimme
138,gimme
139,gimme
140,gimme
141,gimme
142,gimme
143,way
144,gimme
145,fate
146,gimme
147,lungs
148,gimme
149,choice
150,keep
151,coming
152,'round
