,Dead Sea_The Lumineers
0,i
1,stood
2,alone
3,upon
4,platform
5,vain
6,puerto
7,ricans
8,playing
9,salsa
10,rain
11,open
12,doors
13,manual
14,locks
15,fast
16,food
17,parking
18,lots
19,i
20,headed
21,west
22,i
23,man
24,move
25,new
26,york
27,lied
28,me
29,i
30,needed
31,truth
32,oh
33,i
34,need
35,somebody
36,i
37,needed
38,someone
39,i
40,could
41,trust
42,i
43,don’t
44,gamble
45,i
46,i
47,would
48,bet
49,us
50,like
51,dead
52,sea
53,you
54,told
55,me
56,i
57,like
58,dead
59,sea
60,you’ll
61,never
62,sink
63,you
64,me
65,oh
66,lord
67,like
68,dead
69,sea
70,woah
71,i’m
72,like
73,dead
74,sea
75,finest
76,words
77,you
78,ever
79,said
80,me
81,honey
82,can’t
83,you
84,see
85,i
86,born
87,your
88,dead
89,sea
90,you
91,told
92,me
93,you
94,good
95,runnin'
96,away
97,domestic
98,life
99,never
100,suited
101,you
102,like
103,suitcase
104,you
105,left
106,clothes
107,your
108,back
109,took
110,rest
111,you
112,took
113,nap
114,yes
115,times
116,live
117,somebody
118,else
119,your
120,father
121,died
122,you
123,decided
124,live
125,yourself
126,you
127,felt
128,you
129,felt
130,time
131,i’m
132,glad
133,cause
134,you
135,cats
136,that’s
137,right
138,like
139,dead
140,sea
141,you
142,told
143,me
144,i
145,like
146,dead
147,sea
148,you’ll
149,never
150,sink
151,you
152,me
153,oh
154,lord
155,like
156,dead
157,sea
158,woah
159,i’m
160,like
161,dead
162,sea
163,finest
164,words
165,you
166,ever
167,said
168,me
169,honey
170,can’t
171,you
172,see
173,i
174,born
175,your
176,dead
177,sea
178,i've
179,i
180,defeated
181,you’re
182,message
183,i
184,heed
185,would
186,you
187,stay
188,me
189,would
190,you
191,stay
192,night
193,oh
194,dead
195,sea
196,you
197,told
198,me
199,i
200,like
201,dead
202,sea
203,you’ll
204,never
205,sink
206,you
207,me
208,oh
209,lord
210,i'm
211,dead
212,sea
213,woah
214,i’m
215,like
216,dead
217,sea
218,finest
219,words
220,you
221,ever
222,said
223,me
224,honey
225,can’t
226,you
227,see
228,i
229,born
230,your
231,dead
232,sea
