,Stars_Simply Red
0,anyone
1,ever
2,held
3,would
4,tell
5,way
6,i'm
7,feeling
8,anyone
9,ever
10,wanted
11,would
12,try
13,tell
14,feel
15,inside
16,thing
17,ever
18,wanted
19,feeling
20,ain't
21,faking
22,one
23,ever
24,thought
25,wait
26,minute
27,can't
28,see
29,wanna
30,fall
31,stars
32,straight
33,arms
34,feel
35,yeah
36,hope
37,comprehend
38,man
39,tried
40,hurt
41,he's
42,explaining
43,way
44,i'm
45,feeling
46,jealousy
47,caused
48,states
49,reason
50,i'm
51,trying
52,hide
53,things
54,taught
55,sends
56,future
57,clearer
58,dimensions
59,never
60,know
61,much
62,hurt
63,stay
64,minute
65,can't
66,see
67,wanna
68,fall
69,stars
70,straight
71,arms
72,feel
73,yeah
74,hope
75,comprehend
76,bridge
77,many
78,hearts
79,broken
80,lover's
81,promise
82,never
83,came
84,maybe
85,many
86,words
87,left
88,unspoken
89,silent
90,voices
91,driving
92,crazy
93,pain
94,caused
95,making
96,could
97,never
98,intention
99,never
100,know
101,much
102,hurt
103,stay
104,can't
105,see
106,wanna
107,fall
108,stars
109,straight
110,arms
111,feel
112,yeah
113,hope
114,comprehend
115,wanna
116,fall
117,stars
118,straight
119,arms
120,oh
121,feel
122,hope
123,comprehend
