,Violently Happy_Björk
0,since
1,i
2,met
3,you
4,small
5,town
6,got
7,room
8,my
9,big
10,feelings
11,violently
12,happy
13,cause
14,i
15,love
16,you
17,violently
18,happy
19,you're
20,violently
21,happy
22,come
23,calm
24,me
25,i
26,get
27,trouble
28,i
29,tiptoe
30,shore
31,stand
32,ocean
33,make
34,roar
35,me
36,i
37,roar
38,back
39,violently
40,happy
41,cause
42,i
43,love
44,you
45,violently
46,happy
47,you're
48,violently
49,happy
50,overemotional
51,violently
52,happy
53,i'll
54,get
55,trouble
56,real
57,soon
58,you
59,get
60,baby
61,instrumental
62,break
63,violently
64,happy
65,cause
66,i
67,love
68,you
69,violently
70,happy
71,i'm
72,aiming
73,high
74,violently
75,happy
76,get
77,me
78,trouble
79,violently
80,happy
81,i'm
82,driving
83,my
84,car
85,fast
86,ecstatic
87,music
88,violently
89,happy
90,i'm
91,getting
92,drunk
93,violently
94,happy
95,i'm
96,daring
97,people
98,jump
99,roofs
100,me
101,you
102,calm
103,me
104,i'm
105,aiming
106,high
107,soothe
108,me
