,Into My Arms_Nick Cave & The Bad Seeds
0,i
1,believe
2,interventionist
3,god
4,i
5,know
6,darling
7,you
8,i
9,i
10,would
11,kneel
12,ask
13,him
14,intervene
15,came
16,you
17,oh
18,touch
19,hair
20,your
21,head
22,leave
23,you
24,you
25,he
26,felt
27,he
28,direct
29,you
30,direct
31,you
32,my
33,arms
34,my
35,arms
36,lord
37,my
38,arms
39,lord
40,my
41,arms
42,lord
43,my
44,arms
45,i
46,believe
47,existence
48,angels
49,looking
50,you
51,i
52,wonder
53,that's
54,true
55,i
56,i
57,would
58,summon
59,together
60,ask
61,watch
62,you
63,burn
64,candle
65,you
66,make
67,bright
68,clear
69,your
70,path
71,walk
72,like
73,christ
74,grace
75,love
76,guide
77,you
78,my
79,arms
80,my
81,arms
82,lord
83,my
84,arms
85,lord
86,my
87,arms
88,lord
89,my
90,arms
91,i
92,believe
93,love
94,i
95,know
96,you
97,i
98,believe
99,kind
100,path
101,walk
102,me
103,you
104,keep
105,your
106,candles
107,burning
108,make
109,her
110,journey
111,bright
112,pure
113,she
114,keep
115,returning
116,always
117,evermore
118,my
119,arms
120,lord
121,my
122,arms
123,lord
124,my
125,arms
126,lord
127,my
128,arms
