,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off_Panic! at the Disco
0,click
1,read
2,movie
3,inspired
4,"""lying"
5,fun
6,girl
7,without
8,taking
9,clothes
10,"off"""
11,still
12,makes
13,sweat
14,think
15,bed
16,lights
17,dim
18,hands
19,shaking
20,sliding
21,dress
22,think
23,hope
24,god
25,worth
26,lights
27,dim
28,heart
29,racing
30,fingers
31,touch
32,skin
33,bridge
34,i've
35,got
36,wit
37,better
38,kiss
39,hotter
40,touch
41,better
42,fuck
43,boy
44,ever
45,meet
46,sweetie
47,girl
48,look
49,past
50,sweat
51,better
52,love
53,deserving
54,exchanging
55,body
56,heat
57,passenger
58,seat
59,know
60,always
61,pre-chorus
62,let's
63,get
64,teen
65,hearts
66,beating
67,faster
68,faster
69,testosterone
70,boys
71,harlequin
72,girls
73,dance
74,beat
75,hold
76,lover
77,close
78,testosterone
79,boys
80,harlequin
81,girls
82,dance
83,beat
84,hold
85,lover
86,close
87,post-chorus
88,guess
89,we're
90,back
91,us
92,oh
93,cameraman
94,swing
95,focus
96,case
97,lost
98,train
99,thought
100,last
101,left
102,let's
103,pick
104,go
105,oh
106,recall
107,getting
108,part
109,shock
110,sets
111,stomach
112,acid
113,finds
114,new
115,way
116,make
117,get
118,sick
119,hope
120,expect
121,get
122,attention
123,let's
124,get
125,selfish
126,really
127,think
128,i'd
129,let
130,kill
131,pre-chorus
132,let's
133,get
134,teen
135,hearts
136,beating
137,faster
138,faster
139,testosterone
140,boys
141,harlequin
142,girls
143,dance
144,beat
145,hold
146,lover
147,close
148,testosterone
149,boys
150,harlequin
151,girls
152,dance
153,beat
154,hold
155,lover
156,close
157,interlude
158,dance
159,beat
160,dance
161,beat
162,dance
163,beat
164,let's
165,get
166,teen
167,hearts
168,beating
169,faster
170,faster
171,let's
172,get
173,teen
174,hearts
175,beating
176,faster
177,bridge
178,i've
179,got
180,wit
181,better
182,kiss
183,hotter
184,touch
185,better
186,fuck
187,boy
188,ever
189,meet
190,sweetie
191,girl
192,look
193,past
194,sweat
195,better
196,love
197,deserving
198,exchanging
199,body
200,heat
201,passenger
202,seat
203,know
204,always
205,pre-chorus
206,let's
207,get
208,teen
209,hearts
210,beating
211,faster
212,faster
213,testosterone
214,boys
215,harlequin
216,girls
217,dance
218,beat
219,hold
220,lover
221,close
222,testosterone
223,boys
224,harlequin
225,girls
226,dance
227,beat
228,hold
229,lover
230,close
231,outro
232,testosterone
233,boys
234,harlequin
235,girls
236,dance
237,beat
238,testosterone
239,boys
240,harlequin
241,girls
242,dance
243,beat
244,hold
245,lover
246,close
247,let's
248,get
249,teen
250,hearts
251,beating
252,faster
253,faster
254,let's
255,get
256,teen
257,hearts
258,beating
259,faster
