,P.S. I Love You_The Beatles
0,write
1,letter
2,send
3,love
4,remember
5,i'll
6,always
7,love
8,treasure
9,words
10,'til
11,we're
12,together
13,keep
14,love
15,forever
16,ps
17,love
18,i'll
19,coming
20,home
21,love
22,'til
23,day
24,love
25,ps
26,love
27,bridge
28,write
29,letter
30,send
31,love
32,remember
33,i'll
34,always
35,love
36,treasure
37,words
38,'til
39,we're
40,together
41,keep
42,love
43,forever
44,ps
45,love
46,bridge
47,write
48,letter
49,oh
50,send
51,love
52,know
53,want
54,remember
55,i'll
56,always
57,yeah
58,love
59,i'll
60,coming
61,home
62,love
63,'til
64,day
65,love
66,ps
67,love
68,outro
69,love
