,A Rush of Blood to the Head_Coldplay
0,said
1,i'm
2,gonna
3,buy
4,place
5,burn
6,i'm
7,gonna
8,put
9,six
10,feet
11,underground
12,said
13,i'm
14,gonna
15,buy
16,place
17,watch
18,fall
19,stand
20,beside
21,baby
22,crumbling
23,walls
24,oh
25,i'm
26,gonna
27,buy
28,place
29,start
30,fire
31,stand
32,fill
33,heart's
34,desires
35,i'm
36,gonna
37,buy
38,place
39,see
40,burn
41,back
42,things
43,return
44,oo-oh
45,oo-oh
46,oo-oh
47,oo-oh
48,said
49,i'm
50,gonna
51,buy
52,gun
53,start
54,war
55,tell
56,something
57,worth
58,fighting
59,oh
60,i'm
61,gonna
62,buy
63,place
64,that's
65,said
66,blame
67,upon
68,rush
69,blood
70,head
71,hook
72,honey
73,movements
74,starting
75,make
76,see
77,crumble
78,fall
79,face
80,know
81,mistakes
82,made
83,see
84,disappear
85,without
86,trace
87,call
88,beckon
89,say
90,start
91,mean
92,go
93,start
94,mean
95,go
96,said
97,i'm
98,gonna
99,buy
100,place
101,see
102,go
103,stand
104,beside
105,baby
106,watch
107,orange
108,glow
109,laugh
110,sit
111,cry
112,sit
113,wonder
114,i'm
115,gonna
116,buy
117,gun
118,start
119,war
120,tell
121,something
122,worth
123,fighting
124,i'm
125,gonna
126,buy
127,place
128,that's
129,said
130,blame
131,upon
132,rush
133,blood
134,head
135,oh
136,head
137,oh
138,hook
139,honey
140,movements
141,starting
142,make
143,see
144,crumble
145,fall
146,face
147,know
148,mistakes
149,made
150,see
151,disappear
152,without
153,trace
154,call
155,beckon
156,say
157,start
158,mean
159,go
160,mean
161,go
162,mean
163,go
164,outro
165,meet
166,bridge
167,oh
168,meet
169,lane
170,going
171,see
172,pretty
173,face
174,meet
175,road
176,meet
177,said
178,blame
179,upon
180,rush
181,blood
182,head
