,The Lady in Red_Chris de Burgh
0,i've
1,never
2,seen
3,you
4,looking
5,lovely
6,you
7,tonight
8,i've
9,never
10,seen
11,you
12,shine
13,bright
14,i've
15,never
16,seen
17,many
18,men
19,ask
20,you
21,you
22,wanted
23,dance
24,they're
25,looking
26,little
27,romance
28,given
29,half
30,chance
31,i
32,never
33,seen
34,dress
35,you're
36,wearing
37,highlights
38,your
39,hair
40,catch
41,your
42,eyes
43,i
44,blind
45,lady
46,red
47,dancing
48,me
49,cheek
50,cheek
51,there's
52,nobody
53,you
54,me
55,i
56,want
57,i
58,hardly
59,know
60,beauty
61,my
62,side
63,i'll
64,never
65,forget
66,way
67,you
68,look
69,tonight
70,i've
71,never
72,seen
73,you
74,looking
75,gorgeous
76,you
77,tonight
78,i've
79,never
80,seen
81,you
82,shine
83,bright
84,you
85,amazing
86,i've
87,never
88,seen
89,many
90,people
91,want
92,your
93,side
94,you
95,turned
96,me
97,smiled
98,took
99,my
100,breath
101,away
102,i
103,never
104,feeling
105,feeling
106,complete
107,utter
108,love
109,i
110,tonight
111,lady
112,red
113,dancing
114,me
115,cheek
116,cheek
117,there's
118,nobody
119,you
120,me
121,i
122,want
123,i
124,hardly
125,know
126,beauty
127,my
128,side
129,i'll
130,never
131,forget
132,way
133,you
134,look
135,tonight
136,i
137,never
138,forget
139,way
140,you
141,look
142,tonight
143,lady
144,red
145,lady
146,red
147,lady
148,red
149,my
150,lady
151,red
152,i
153,love
154,you
