,Till There Was You_The Beatles
0,bells
1,hill
2,never
3,heard
4,ringing
5,never
6,heard
7,till
8,birds
9,sky
10,never
11,saw
12,winging
13,never
14,saw
15,till
16,bridge
17,music
18,wonderful
19,roses
20,tell
21,sweet
22,fragrant
23,meadows
24,dawn
25,dew
26,love
27,around
28,never
29,heard
30,singing
31,never
32,heard
33,till
34,bridge
35,music
36,wonderful
37,roses
38,tell
39,sweet
40,fragrant
41,meadows
42,dawn
43,dew
44,love
45,around
46,never
47,heard
48,singing
49,never
50,heard
51,till
52,outro
53,till
