,Half of My Heart_John Mayer
0,john
1,mayer
2,i
3,born
4,arms
5,imaginary
6,friends
7,free
8,roam
9,made
10,home
11,everywhere
12,i've
13,you
14,come
15,crashing
16,like
17,realest
18,thing
19,trying
20,my
21,best
22,understand
23,your
24,love
25,bring
26,john
27,mayer
28,taylor
29,swift
30,oh
31,half
32,my
33,heart's
34,got
35,grip
36,situation
37,half
38,my
39,heart
40,takes
41,time
42,half
43,my
44,heart's
45,got
46,right
47,mind
48,tell
49,you
50,i
51,can't
52,keep
53,loving
54,you
55,can't
56,keep
57,loving
58,you
59,oh
60,half
61,my
62,heart
63,john
64,mayer
65,i
66,made
67,believe
68,i'd
69,never
70,love
71,somebody
72,else
73,made
74,plan
75,stay
76,man
77,love
78,himself
79,lonely
80,song
81,i
82,sang
83,day
84,you
85,came
86,showing
87,me
88,another
89,way
90,my
91,love
92,bring
93,john
94,mayer
95,taylor
96,swift
97,oh
98,half
99,my
100,heart's
101,got
102,grip
103,situation
104,half
105,my
106,heart
107,takes
108,time
109,half
110,my
111,heart's
112,got
113,right
114,mind
115,tell
116,you
117,i
118,can't
119,keep
120,loving
121,you
122,can't
123,keep
124,loving
125,you
126,oh
127,half
128,my
129,heart
130,john
131,mayer
132,your
133,faith
134,strong
135,i
136,fall
137,short
138,long
139,road
140,later
141,you
142,hate
143,i
144,never
145,gave
146,you
147,half
148,my
149,heart
150,i
151,can't
152,stop
153,loving
154,you
155,backup
156,vocals
157,taylor
158,swift
159,i
160,can't
161,stop
162,loving
163,you
164,i
165,can't
166,stop
167,loving
168,you
169,half
170,my
171,half
172,my
173,heart
174,half
175,my
176,heart
177,john
178,mayer
179,taylor
180,swift
181,half
182,my
183,heart’s
184,got
185,real
186,cool
187,imagination
188,half
189,my
190,heart’s
191,got
192,you
193,half
194,my
195,heart’s
196,got
197,right
198,mind
199,tell
200,you
201,half
202,my
203,heart
204,won’t
205,john
206,mayer
207,half
208,my
209,heart
210,shotgun
211,wedding
212,bride
213,paper
214,ring
215,half
216,my
217,heart
218,part
219,man
220,who's
221,never
222,truly
223,loved
224,anything
225,half
226,my
227,heart
228,half
229,my
230,heart
231,half
232,my
233,heart
234,half
235,my
236,heart
237,half
238,my
239,heart
240,half
241,my
242,heart
