,Mistletoe_Justin Bieber
0,it’s
1,beautiful
2,time
3,year
4,lights
5,fill
6,streets
7,spreading
8,much
9,cheer
10,i
11,playing
12,winter
13,snow
14,i'ma
15,mistletoe
16,i
17,don’t
18,wanna
19,miss
20,holiday
21,i
22,can’t
23,stop
24,staring
25,your
26,face
27,i
28,playing
29,winter
30,snow
31,i'ma
32,mistletoe
33,you
34,shawty
35,you
36,you
37,shawty
38,you
39,you
40,mistletoe
41,everyone's
42,gathering
43,around
44,fire
45,chestnuts
46,roasting
47,like
48,hot
49,july
50,i
51,chilling
52,my
53,folks
54,i
55,know
56,i'ma
57,mistletoe
58,word
59,street
60,santa's
61,coming
62,tonight
63,reindeer's
64,flying
65,sky
66,high
67,i
68,making
69,list
70,i
71,know
72,i'ma
73,mistletoe
74,you
75,shawty
76,you
77,you
78,shawty
79,you
80,you
81,mistletoe
82,you
83,shawty
84,you
85,you
86,shawty
87,you
88,you
89,mistletoe
90,ayy
91,love
92,wise
93,men
94,followed
95,star
96,way
97,i
98,followed
99,my
100,heart
101,led
102,me
103,miracle
104,ayy
105,love
106,you
107,buy
108,me
109,nothing
110,'cause
111,i
112,feeling
113,one
114,thing
115,your
116,lips
117,my
118,lips
119,that’s
120,merry
121,merry
122,christmas
123,it’s
124,beautiful
125,time
126,year
127,lights
128,fill
129,streets
130,spreading
131,much
132,cheer
133,i
134,playing
135,winter
136,snow
137,i'ma
138,mistletoe
139,i
140,don’t
141,wanna
142,miss
143,holiday
144,i
145,can’t
146,stop
147,staring
148,your
149,face
150,i
151,playing
152,winter
153,snow
154,i'ma
155,mistletoe
156,you
157,shawty
158,you
159,you
160,shawty
161,you
162,you
163,mistletoe
164,yeah
165,you
166,shawty
167,you
168,you
169,shawty
170,you
171,you
172,mistletoe
173,mistletoe
174,kiss
175,me
176,underneath
177,mistletoe
178,show
179,me
180,baby
181,you
182,love
183,me
184,soohoh
185,oh
186,oh
187,oh
188,kiss
189,me
190,underneath
191,mistletoe
192,show
193,me
194,baby
195,you
196,love
197,me
198,soohoh
199,oh
200,oh
201,oh
