,My Cherie Amour_Stevie Wonder
0,la
1,la
2,la
3,la
4,la
5,la
6,la
7,la
8,la
9,la
10,la
11,la
12,my
13,cherie
14,amour
15,lovely
16,summer
17,day
18,my
19,cherie
20,amour
21,distant
22,milky
23,way
24,my
25,cherie
26,amour
27,pretty
28,little
29,one
30,i
31,adore
32,you're
33,girl
34,my
35,heart
36,beats
37,i
38,wish
39,you
40,mine
41,cafe
42,sometimes
43,crowded
44,street
45,i've
46,near
47,you
48,you
49,never
50,noticed
51,me
52,my
53,cherie
54,amour
55,you
56,tell
57,me
58,could
59,you
60,ignore
61,behind
62,little
63,smile
64,i
65,wore
66,i
67,wish
68,you
69,mine
70,la
71,la
72,la
73,la
74,la
75,la
76,la
77,la
78,la
79,la
80,la
81,la
82,maybe
83,someday
84,you'll
85,see
86,my
87,face
88,among
89,crowd
90,maybe
91,someday
92,i'll
93,share
94,your
95,little
96,distant
97,cloud
98,oh
99,cherie
100,amour
101,pretty
102,little
103,one
104,i
105,adore
106,you're
107,girl
108,my
109,heart
110,beats
111,i
112,wish
113,you
114,mine
115,la
116,la
117,la
118,la
119,la
120,la
121,la
122,la
123,la
124,la
125,la
126,la
