,Gold Soundz_Pavement
0,go
1,back
2,gold
3,soundz
4,keep
5,my
6,advent
7,your
8,self
9,nothing
10,i
11,like
12,crisis
13,boring
14,change
15,central
16,essential
17,nice
18,ring
19,you
20,laugh
21,low
22,life
23,opinions
24,they're
25,coming
26,i
27,keep
28,my
29,address
30,yourself
31,cause
32,need
33,secrets
34,need
35,secret
36,cretcretcretcrets
37,back
38,right
39,i
40,never
41,wanna
42,make
43,you
44,feel
45,you're
46,social
47,never
48,ignorant
49,soul
50,believe
51,you
52,wanna
53,you
54,think
55,major
56,flaw
57,rise
58,falling
59,rain
60,you
61,stay
62,around
63,your
64,knuckles
65,ground
66,trial's
67,weapon's
68,found
69,keep
70,my
71,address
72,myself
73,secret
74,cause
75,secret
76,cretcretcretcretcretcretcretcretcretcretcretcretcret
77,back
78,right
79,drunk
80,august
81,sun
82,you're
83,kind
84,girl
85,i
86,like
87,you're
88,empty
89,i'm
90,empty
91,you
92,never
93,quarantine
94,past
95,you
96,remember
97,december
98,i
99,need
100,you
101,i'm
102,gone
103,i
104,go
105,i
106,stay
107,i'm
108,sitting
109,long
110,i've
111,sitting
112,long
113,i've
114,wasted
115,advocating
116,word
117,last
118,word
119,last
120,words
121,come
122,you've
123,got
124,waste
