,The Fragile_Nine Inch Nails
0,shines
1,world
2,full
3,ugliness
4,matters
5,everything
6,meaningless
7,fragile
8,see
9,beauty
10,tries
11,get
12,away
13,sometimes
14,nothing
15,seems
16,worth
17,saving
18,can't
19,watch
20,slip
21,away
22,let
23,fall
24,apart
25,let
26,fall
27,apart
28,let
29,fall
30,apart
31,let
32,fall
33,apart
34,reads
35,minds
36,people
37,pass
38,hoping
39,someone
40,see
41,could
42,fix
43,i'd--
44,late
45,let
46,fall
47,apart
48,let
49,fall
50,apart
51,let
52,fall
53,apart
54,let
55,fall
56,apart
57,bridge
58,we'll
59,find
60,perfect
61,place
62,go
63,run
64,hide
65,i'll
66,build
67,wall
68,keep
69,side
70,keep
71,waiting
72,picking
73,picking
74,picking
75,picking
76,picking
77,picking
78,picking
79,picking
80,picking
81,outro
82,something
83,let
84,fall
85,apart
86,let
87,fall
88,apart
89,everything
90,else
91,let
92,fall
93,apart
94,like
95,let
96,fall
97,apart
