,Oblivion_Bastille
0,you
1,fall
2,asleep
3,your
4,head
5,upon
6,my
7,shoulder
8,you're
9,my
10,arms
11,you've
12,gone
13,somewhere
14,deeper
15,prechorus
16,you
17,going
18,age
19,grace
20,you
21,going
22,age
23,without
24,mistakes
25,you
26,going
27,age
28,grace
29,wake
30,hide
31,your
32,face
33,oblivion
34,calling
35,your
36,name
37,you
38,always
39,take
40,i
41,ever
42,you
43,play
44,hard
45,i
46,try
47,follow
48,you
49,control
50,i
51,turn
52,back
53,i
54,see
55,you
56,go
57,prechorus
58,you
59,going
60,age
61,grace
62,you
63,going
64,leave
65,path
66,trace
67,oblivion
68,calling
69,your
70,name
71,you
72,always
73,take
74,i
75,ever
76,oblivion
77,calling
78,your
79,name
80,you
81,always
82,take
83,i
84,ever
