,Forever_Ben Harper
0,talkin'
1,'bout
2,year
3,three
4,four
5,i
6,want
7,kind
8,forever
9,my
10,life
11,anymore
12,forever
13,always
14,seems
15,around
16,begins
17,forever
18,never
19,seems
20,around
21,ends
22,give
23,me
24,your
25,forever
26,please
27,your
28,forever
29,day
30,less
31,you
32,people
33,spend
34,much
35,time
36,every
37,single
38,day
39,runnin'
40,'round
41,town
42,givin'
43,forever
44,away
45,me
46,i
47,let
48,my
49,forever
50,roam
51,i
52,hope
53,i
54,find
55,my
56,forever
57,home
58,give
59,me
60,your
61,forever
62,please
63,your
64,forever
65,day
66,less
67,you
68,like
69,handless
70,clock
71,numbers
72,infinite
73,time
74,forever
75,found
76,mind
77,forever
78,always
79,seems
80,around
81,things
82,begin
83,forever
84,never
85,seems
86,around
87,things
88,end
89,give
90,me
91,your
92,forever
93,please
94,your
95,forever
96,day
97,less
98,you
