,I Just Don't Think I'll Ever Get Over You_Colin Hay
0,i
1,drink
2,good
3,coffee
4,every
5,morning
6,comes
7,place
8,that's
9,far
10,away
11,i'm
12,done
13,i
14,feel
15,like
16,talking
17,without
18,you
19,less
20,say
21,want
22,you
23,thinking
24,i'm
25,unhappy
26,closer
27,truth
28,i
29,lived
30,'till
31,i
32,hundred
33,two
34,i
35,think
36,i'll
37,ever
38,get
39,you
40,i'm
41,longer
42,moved
43,drink
44,strong
45,whiskey
46,i
47,shook
48,hand
49,time
50,i
51,knew
52,i
53,lived
54,'till
55,i
56,could
57,longer
58,climb
59,my
60,stairs
61,i
62,think
63,i'll
64,ever
65,get
66,you
67,your
68,face
69,dances
70,haunts
71,me
72,your
73,laughter
74,still
75,ringing
76,my
77,ears
78,i
79,still
80,find
81,pieces
82,your
83,presence
84,even
85,years
86,i
87,want
88,you
89,thinking
90,i
91,get
92,asked
93,dinner
94,cause
95,i'm
96,say
97,i
98,sometimes
99,even
100,though
101,i
102,may
103,seem
104,feel
105,touch
106,love
107,i
108,think
109,i'll
110,ever
111,get
112,you
113,i
114,live
115,'till
116,i
117,hundred
118,two
119,i
120,think
121,i'll
122,ever
123,get
124,you
