,Adore You_Miley Cyrus
0,ohoh
1,hey
2,ohoh
3,baby
4,baby
5,yeah
6,you
7,listening
8,wondering
9,you've
10,my
11,life
12,i
13,started
14,living
15,oohoh
16,baby
17,you
18,listening
19,ohoh
20,you
21,say
22,you
23,love
24,me
25,know
26,i
27,love
28,you
29,you
30,say
31,you
32,need
33,me
34,know
35,i
36,need
37,you
38,boy
39,i
40,adore
41,you
42,i
43,adore
44,you
45,baby
46,you
47,hear
48,me
49,i'm
50,crying
51,you
52,i'm
53,scared
54,oh
55,scared
56,you're
57,near
58,me
59,i
60,feel
61,like
62,i'm
63,standing
64,army
65,men
66,armed
67,weapons
68,you
69,say
70,you
71,love
72,me
73,know
74,i
75,love
76,you
77,you
78,say
79,you
80,need
81,me
82,know
83,i
84,need
85,you
86,boy
87,i
88,adore
89,you
90,i
91,adore
92,you
93,i
94,love
95,lying
96,next
97,you
98,i
99,could
100,eternity
101,you
102,me
103,we're
104,meant
105,holy
106,matrimony
107,god
108,knew
109,exactly
110,he
111,he
112,led
113,me
114,you
115,you
116,say
117,you
118,love
119,me
120,know
121,i
122,love
123,you
124,i
125,love
126,you
127,you
128,say
129,you
130,need
131,me
132,know
133,i
134,need
135,you
136,boy
137,i
138,adore
139,you
140,i
141,adore
142,you
143,you
144,say
145,you
146,love
147,me
148,know
149,i
150,love
151,you
152,you
153,say
154,you
155,need
156,me
157,know
158,i
159,need
160,you
161,boy
162,i
163,adore
164,you
165,i
166,adore
167,you
