,Falling_Florence + the Machine
0,i've
1,fallen
2,favor
3,i've
4,fallen
5,grace
6,fallen
7,trees
8,i've
9,fallen
10,face
11,fallen
12,taxis
13,windows
14,fell
15,opinion
16,fell
17,love
18,pre-chorus
19,oh-ooh
20,oh-oooooooh
21,oh-ooh
22,oh-oooooooh
23,sometimes
24,wish
25,falling
26,wish
27,release
28,wish
29,falling
30,air
31,give
32,relief
33,falling
34,problem
35,i'm
36,falling
37,i'm
38,peace
39,hit
40,ground
41,causes
42,grief
43,pre-chorus
44,oh-ooh
45,oh-oooooooh
46,oh-ooh
47,oh-oooooooh
48,song
49,scribbled
50,name
51,love
52,keeps
53,writing
54,song
55,scribbled
56,name
57,love
58,keeps
59,writing
60,bridge
61,i'll
62,dance
63,drunk
64,found
65,people
66,love
67,left
68,people
69,drown
70,i'm
71,scared
72,jump
73,i'm
74,scared
75,fall
76,nowhere
77,land
78,scared
79,fall
80,fall
81,sometimes
82,wish
83,falling
84,wish
85,release
86,wish
87,falling
88,air
89,give
90,relief
91,falling
92,problem
93,i'm
94,falling
95,i'm
96,peace
97,hit
98,ground
99,causes
100,grief
