,Falling Away With You_Muse
0,can't
1,remember
2,good
3,moments
4,happiness
5,elude
6,maybe
7,misunderstood
8,love
9,left
10,behind
11,watching
12,flashbacks
13,intertwine
14,memories
15,never
16,find
17,i'll
18,love
19,whatever
20,become
21,forget
22,reckless
23,things
24,we've
25,done
26,think
27,lives
28,begun
29,think
30,lives
31,begun
32,hook
33,i'll
34,feel
35,world
36,crumbling
37,i'll
38,feel
39,life
40,crumbling
41,i'll
42,feel
43,soul
44,crumbling
45,away
46,falling
47,away
48,falling
49,away
50,staying
51,awake
52,chase
53,dream
54,tasting
55,air
56,breathing
57,hope
58,forget
59,thing
60,promise
61,hold
62,close
63,pray
64,watching
65,fantasies
66,decay
67,nothing
68,ever
69,stay
70,love
71,threw
72,away
73,hopes
74,we've
75,cherished
76,fade
77,making
78,mistakes
79,making
80,mistakes
81,hook
82,i'll
83,feel
84,world
85,crumbling
86,i'll
87,feel
88,life
89,crumbling
90,i'll
91,feel
92,soul
93,crumbling
94,away
95,falling
96,away
97,falling
98,away
99,outro
100,love
101,left
102,behind
103,watching
104,flash
105,backs
106,intertwine
107,memories
108,never
109,find
110,memories
111,never
112,find
