,Breathe_Faith Hill
0,feel
1,magic
2,floating
3,air
4,gets
5,way
6,watch
7,sunlight
8,dance
9,across
10,face
11,i've
12,never
13,swept
14,away
15,thoughts
16,seem
17,settle
18,breeze
19,i'm
20,lying
21,wrapped
22,arms
23,whole
24,world
25,fades
26,away
27,thing
28,hear
29,beating
30,heart
31,'cause
32,feel
33,breathe
34,washing
35,suddenly
36,i'm
37,melting
38,there's
39,nothing
40,left
41,prove
42,baby
43,need
44,caught
45,touch
46,slow
47,steady
48,rush
49,baby
50,way
51,love's
52,supposed
53,feel
54,breathe
55,breathe
56,way
57,know
58,heart
59,waking
60,walls
61,come
62,tumbling
63,i'm
64,closer
65,i've
66,ever
67,felt
68,know
69,know
70,there's
71,need
72,words
73,right
74,'cause
75,feel
76,breathe
77,washing
78,suddenly
79,i'm
80,melting
81,there's
82,nothing
83,left
84,prove
85,baby
86,need
87,caught
88,touch
89,slow
90,steady
91,rush
92,baby
93,way
94,love's
95,supposed
96,feel
97,breathe
98,breathe
99,instrumental
100,bridge
101,caught
102,touch
103,slow
104,steady
105,rush
106,baby
107,way
108,love's
109,supposed
110,feel
111,breathe
112,breathe
113,outro
114,feel
115,magic
116,floating
117,air
118,gets
119,way
