,Kiss You_One Direction
0,zayn
1,&
2,harry
3,oh
4,wanna
5,take
6,anywhere
7,like
8,could
9,go
10,day
11,night
12,baby
13,i'll
14,take
15,take
16,baby
17,i'll
18,take
19,yeah
20,oh
21,tell
22,tell
23,tell
24,turn
25,love
26,get
27,get
28,anything
29,want
30,baby
31,shout
32,shout
33,baby
34,shout
35,yeah
36,pre-chorus
37,liam
38,&
39,harry
40,want
41,let's
42,make
43,move
44,yeah
45,tell
46,girl
47,every
48,time
49,&
50,harry
51,touch
52,get
53,kind
54,rush
55,baby
56,say
57,yeah
58,yeah
59,wanna
60,take
61,slow
62,wanna
63,take
64,home
65,baby
66,say
67,yeah
68,yeah
69,let
70,kiss
71,zayn
72,&
73,niall
74,oh
75,baby
76,baby
77,know
78,got
79,need
80,looking
81,good
82,head
83,feet
84,come
85,come
86,come
87,come
88,yeah
89,oh
90,wanna
91,show
92,friends
93,making
94,drool
95,chinny-chin-chins
96,baby
97,mine
98,tonight
99,mine
100,tonight
101,baby
102,mine
103,tonight
104,yeah
105,pre-chorus
106,liam
107,&
108,zayn
109,want
110,let's
111,make
112,move
113,yeah
114,tell
115,girl
116,every
117,time
118,&
119,zayn
120,touch
121,get
122,kind
123,rush
124,baby
125,say
126,yeah
127,yeah
128,wanna
129,take
130,slow
131,wanna
132,take
133,home
134,baby
135,say
136,yeah
137,yeah
138,let
139,kiss
140,bridge
141,&
142,louis
143,c'mon
144,na-na-na-na-na-na-na-na
145,na-na-na-na-na-na-na-na
146,na-na-na-na-na-na-na-na
147,yeah
148,tell
149,girl
150,every
151,time
152,touch
153,get
154,kind
155,rush
156,baby
157,say
158,yeah
159,yeah
160,wanna
161,take
162,slow
163,wanna
164,take
165,home
166,baby
167,say
168,yeah
169,yeah
170,outro
171,&
172,harry
173,every
174,time
175,touch
176,get
177,kind
178,rush
179,baby
180,say
181,yeah
182,yeah
183,wanna
184,take
185,slow
186,wanna
187,take
188,home
189,baby
190,say
191,yeah
192,yeah
193,let
194,kiss
