,Why_Annie Lennox
0,many
1,times
2,i
3,try
4,tell
5,you
6,i'm
7,sorry
8,things
9,i've
10,done
11,i
12,start
13,try
14,tell
15,you
16,that's
17,you
18,tell
19,me
20,hey…
21,kind
22,trouble's
23,begun
24,i
25,tell
26,myself
27,many
28,times
29,you
30,ever
31,learn
32,keep
33,your
34,big
35,mouth
36,shut
37,that's
38,hurts
39,bad
40,hear
41,words
42,keep
43,falling
44,your
45,mouth
46,falling
47,your
48,mouth
49,falling
50,your
51,mouth
52,tell
53,me…
54,i
55,may
56,mad
57,i
58,may
59,blind
60,i
61,may
62,viciously
63,unkind
64,i
65,still
66,read
67,you're
68,thinking
69,i've
70,heard
71,said
72,many
73,times
74,you'd
75,better
76,besides…
77,can't
78,you
79,see
80,boat
81,sinking
82,boat
83,sinking
84,boat
85,sinking
86,let's
87,go
88,water's
89,edge
90,cast
91,away
92,doubts
93,things
94,better
95,left
96,unsaid
97,still
98,turn
99,me
100,inside
101,turning
102,inside
103,turning
104,inside
105,tell
106,me
107,tell
108,me
109,book
110,i
111,never
112,read
113,words
114,i
115,never
116,said
117,path
118,i'll
119,never
120,tread
121,dreams
122,i'll
123,dream
124,instead
125,joy
126,that's
127,seldom
128,spread
129,tears…
130,tears
131,shed
132,fear
133,dread
134,contents
135,my
136,head
137,years
138,spent
139,represent
140,i
141,feel
142,you
143,know
144,i
145,feel
146,‘cause
147,i
148,think
149,you
150,know
151,i
152,feel
153,i
154,feel
