,Purple Rain_Prince & The Revolution
0,never
1,meant
2,cause
3,sorrow
4,never
5,meant
6,cause
7,pain
8,wanted
9,one
10,time
11,see
12,laughing
13,pre-chorus
14,wanted
15,see
16,laughing
17,purple
18,rain
19,purple
20,rain
21,purple
22,rain
23,purple
24,rain
25,purple
26,rain
27,purple
28,rain
29,purple
30,rain
31,want
32,see
33,bathing
34,purple
35,rain
36,never
37,wanted
38,weekend
39,lover
40,wanted
41,kind
42,friend
43,hey
44,baby
45,could
46,never
47,steal
48,another
49,pre-chorus
50,shame
51,friendship
52,end
53,purple
54,rain
55,purple
56,rain
57,purple
58,rain
59,purple
60,rain
61,purple
62,rain
63,purple
64,rain
65,want
66,see
67,underneath
68,purple
69,rain
70,honey
71,know
72,know
73,know
74,times
75,changing
76,time
77,reach
78,something
79,new
80,means
81,say
82,want
83,leader
84,can't
85,seem
86,make
87,mind
88,pre-chorus
89,think
90,better
91,close
92,let
93,guide
94,purple
95,rain
96,purple
97,rain
98,purple
99,rain
100,purple
101,rain
102,purple
103,rain
104,wooo
105,know
106,i'm
107,singing
108,come
109,raise
110,hand
111,purple
112,rain
113,purple
114,rain
115,want
116,see
117,want
118,see
119,purple
120,rain
121,instrumental
122,outro
123,346-840
124,guitar
125,solo
