,King of Anything_Sara Bareilles
0,refrain
1,oh
2,oh
3,oh
4,oh
5,oh
6,oh
7,oh
8,oh
9,oh
10,oh
11,oh
12,oh
13,oh
14,oh
15,oh
16,oh
17,keep
18,drinking
19,coffee
20,stare
21,me
22,across
23,table
24,i
25,look
26,outside
27,many
28,things
29,i'd
30,say
31,i
32,able
33,i
34,keep
35,quiet
36,count
37,cars
38,pass
39,you've
40,got
41,opinions
42,man
43,we're
44,entitled
45,'em
46,i
47,never
48,asked
49,let
50,me
51,thank
52,you
53,your
54,time
55,try
56,waste
57,mine
58,get
59,fast
60,prechorus
61,i
62,hate
63,break
64,you
65,babe
66,i'm
67,drowning
68,there's
69,one
70,save
71,cares
72,you
73,disagree
74,you
75,me
76,made
77,you
78,king
79,anything
80,you
81,dare
82,tell
83,me
84,died
85,made
86,you
87,king
88,anything
89,refrain
90,oh
91,oh
92,oh
93,oh
94,you
95,sound
96,innocent
97,full
98,good
99,intent
100,you
101,swear
102,you
103,know
104,best
105,you
106,expect
107,me
108,jump
109,board
110,you
111,ride
112,your
113,delusional
114,sunset
115,i'm
116,one
117,who's
118,lost
119,direction
120,oh
121,you'll
122,never
123,see
124,you're
125,busy
126,making
127,maps
128,my
129,name
130,caps
131,you've
132,got
133,talking
134,listening
135,cares
136,you
137,disagree
138,you
139,me
140,made
141,you
142,king
143,anything
144,you
145,dare
146,tell
147,me
148,died
149,made
150,you
151,king
152,anything
153,my
154,life
155,i've
156,tried
157,make
158,everybody
159,happy
160,i
161,hurt
162,hide
163,waiting
164,someone
165,tell
166,me
167,my
168,turn
169,decide
170,refrain
171,oh
172,oh
173,oh
174,oh
175,oh
176,oh
177,oh
178,oh
179,oh
180,oh
181,oh
182,oh
183,oh
184,oh
185,oh
186,oh
187,oh
188,oh
189,oh
190,oh
191,cares
192,you
193,disagree
194,you
195,me
196,made
197,you
198,king
199,anything
200,you
201,dare
202,tell
203,me
204,died
205,made
206,you
207,king
208,anything
209,cares
210,you
211,disagree
212,you
213,me
214,made
215,you
216,king
217,anything
218,you
219,dare
220,tell
221,me
222,died
223,made
224,you
225,king
226,anything
227,let
228,me
229,hold
230,your
231,crown
232,babe
233,oh
234,oh
235,ahh
