,You Were Meant For Me_Jewel
0,i
1,hear
2,clock
3,six
4,i
5,feel
6,far
7,i've
8,i
9,got
10,my
11,eggs
12,i
13,got
14,my
15,pancakes
16,i
17,got
18,my
19,maple
20,syrup
21,everything
22,you
23,i
24,break
25,yolks
26,make
27,smiley
28,face
29,i
30,kinda
31,like
32,my
33,brand
34,new
35,place
36,wipe
37,spots
38,mirror
39,leave
40,my
41,keys
42,door
43,i
44,never
45,put
46,wet
47,towels
48,floor
49,anymore
50,'cause
51,dreams
52,last
53,long
54,even
55,you're
56,gone
57,i
58,know
59,you
60,love
61,me
62,soon
63,you
64,see
65,you
66,meant
67,me
68,i
69,meant
70,you
71,i
72,called
73,my
74,momma
75,she
76,walk
77,consoled
78,cup
79,coffee
80,wanna
81,talk
82,i
83,picked
84,paper
85,bad
86,news
87,hearts
88,broken
89,people
90,used
91,put
92,my
93,coat
94,pouring
95,rain
96,i
97,saw
98,movie
99,cause
100,happy
101,i
102,sad
103,made
104,me
105,miss
106,you
107,oh
108,bad
109,'cause
110,dreams
111,last
112,long
113,even
114,you're
115,gone
116,i
117,know
118,you
119,love
120,me
121,soon
122,you
123,see
124,you
125,meant
126,me
127,i
128,meant
129,you
130,i
131,go
132,my
133,business
134,i'm
135,fine
136,besides
137,would
138,i
139,say
140,i
141,you
142,line
143,old
144,story
145,much
146,say
147,hearts
148,broken
149,everyday
150,i
151,brush
152,my
153,teeth
154,i
155,put
156,cap
157,back
158,i
159,know
160,you
161,hate
162,i
163,leave
164,light
165,i
166,pick
167,book
168,i
169,turn
170,sheets
171,i
172,take
173,deep
174,breath
175,good
176,look
177,around
178,put
179,my
180,pj's
181,hop
182,bed
183,i'm
184,half
185,alive
186,i
187,feel
188,mostly
189,dead
190,i
191,try
192,tell
193,myself
194,it'll
195,alright
196,i
197,think
198,anymore
199,tonight
200,'cause
201,dreams
202,last
203,long
204,even
205,you're
206,gone
207,i
208,know
209,you
210,love
211,me
212,soon
213,you
214,see
215,you
216,meant
217,me
218,i
219,meant
220,you
221,yeah
222,you
223,meant
224,me
225,i
226,meant
227,you
