,One_Ed Sheeran
0,tell
1,me
2,you'll
3,turn
4,man
5,asks
6,your
7,hand
8,cause
9,you're
10,waiting
11,me
12,i
13,know
14,you're
15,gonna
16,away
17,i've
18,got
19,plans
20,leave
21,would
22,you
23,take
24,away
25,my
26,hopes
27,dreams
28,stay
29,me
30,my
31,senses
32,come
33,life
34,i'm
35,stumbling
36,home
37,drunk
38,i
39,ever
40,i'll
41,never
42,leave
43,cause
44,you
45,one
46,my
47,friends
48,gone
49,find
50,another
51,place
52,let
53,hearts
54,collide
55,promise
56,me
57,you'll
58,always
59,friend
60,cause
61,you
62,one
63,take
64,my
65,hand
66,my
67,heart
68,soul
69,i
70,eyes
71,you
72,you
73,know
74,everything
75,changes
76,we'll
77,strangers
78,see
79,you
80,could
81,stay
82,within
83,walls
84,bleed
85,stay
86,me
87,oh
88,lord
89,my
90,senses
91,come
92,life
93,i'm
94,stumbling
95,home
96,drunk
97,i
98,ever
99,i'll
100,never
101,leave
102,cause
103,you
104,one
105,my
106,friends
107,gone
108,find
109,another
110,place
111,let
112,hearts
113,collide
114,promise
115,me
116,you'll
117,always
118,friend
119,cause
120,you
121,one
122,stumbling
123,half
124,drunk
125,getting
126,myself
127,lost
128,i
129,gone
130,tell
131,me
132,way
133,home
134,i
135,listen
136,sad
137,songs
138,singing
139,love
140,goes
141,wrong
142,my
143,senses
144,come
145,life
146,i'm
147,stumbling
148,home
149,drunk
150,i
151,ever
152,i'll
153,never
154,leave
155,cause
156,you
157,one
158,my
159,friends
160,gone
161,find
162,another
163,place
164,let
165,hearts
166,collide
167,promise
168,me
169,you'll
170,always
171,friend
172,cause
173,you
174,one
