,In Your Eyes_Peter Gabriel
0,peter
1,gabriel
2,love
3,get
4,lost
5,sometimes
6,days
7,pass
8,emptiness
9,fills
10,heart
11,want
12,run
13,away
14,drive
15,car
16,whichever
17,way
18,go
19,come
20,back
21,place
22,pre-chorus
23,peter
24,gabriel
25,instincts
26,return
27,grand
28,façade
29,soon
30,burn
31,without
32,noise
33,without
34,pride
35,reach
36,inside
37,peter
38,gabriel
39,eyes
40,light
41,heat
42,eyes
43,complete
44,eyes
45,see
46,doorway
47,eyes
48,thousand
49,churches
50,eyes
51,resolution
52,eyes
53,fruitless
54,searches
55,eyes
56,eyes
57,oh
58,see
59,light
60,heat
61,eyes
62,light
63,heat
64,eyes
65,oh
66,wanna
67,complete
68,eyes
69,light
70,heat
71,eyes
72,wanna
73,touch
74,light
75,heat
76,see
77,eyes
78,peter
79,gabriel
80,love
81,like
82,see
83,much
84,pain
85,much
86,wasted
87,moment
88,keeps
89,slipping
90,away
91,get
92,tired
93,working
94,hard
95,survival
96,look
97,time
98,keep
99,awake
100,alive
101,pre-chorus
102,peter
103,gabriel
104,instincts
105,return
106,grand
107,façade
108,soon
109,burn
110,without
111,noise
112,without
113,pride
114,reach
115,inside
116,peter
117,gabriel
118,eyes
119,eyes
120,eyes
121,eyes
122,eyes
123,light
124,heat
125,eyes
126,complete
127,eyes
128,see
129,doorway
130,thousand
131,churches
132,eyes
133,resolution
134,eyes
135,fruitless
136,searches
137,oh
138,see
139,light
140,heat
141,eyes
142,oh
143,wanna
144,complete
145,eyes
146,want
147,touch
148,light
149,heat
150,see
151,eyes
152,eyes
153,eyes
154,eyes
155,outro
156,youssou
157,n'dour
158,sa
159,bet
160,chi
161,lamp
162,chi
163,tangaay
164,sa
165,bet
166,maangi
167,ci
168,biir
169,sa
170,bet
171,chi
172,lamp
173,chi
174,tangaay
175,sa
176,bet
177,maangi
178,ci
179,biir
180,sa
181,bet
182,chi
183,lamp
184,chi
185,tangaay
186,sa
187,bet
188,maangi
189,ci
190,biir
191,sa
192,bet
193,chi
194,lamp
195,chi
196,tangaay
197,sa
198,bet
199,maangi
200,ci
201,biir
202,sa
203,bet
204,chi
205,lamp
206,chi
207,tangaay
208,sa
209,bet
210,maangi
211,ci
212,biir
