,Kill Your Heroes_Awolnation
0,well
1,i
2,met
3,old
4,man
5,dying
6,train
7,destination
8,pain
9,well
10,he
11,said
12,one
13,thing
14,i
15,graduate
16,never
17,let
18,your
19,fear
20,decide
21,your
22,fate
23,i
24,say
25,you
26,kill
27,your
28,heroes
29,fly
30,fly
31,baby
32,cry
33,need
34,worry
35,'cause
36,everybody
37,die
38,every
39,day
40,go
41,go
42,baby
43,go
44,you
45,worry
46,love
47,you
48,you
49,know
50,well
51,sun
52,one
53,day
54,leave
55,us
56,behind
57,unexplainable
58,sightings
59,sky
60,well
61,i
62,hate
63,one
64,ruin
65,night
66,right
67,your
68,right
69,your
70,eyes
71,i
72,say
73,you
74,kill
75,your
76,heroes
77,fly
78,fly
79,baby
80,cry
81,need
82,worry
83,'cause
84,everybody
85,die
86,every
87,day
88,go
89,go
90,baby
91,go
92,you
93,worry
94,love
95,you
96,you
97,know
98,well
99,i
100,met
101,old
102,man
103,dying
104,train
105,destination
106,pain
107,well
108,he
109,said
110,one
111,thing
112,i
113,graduate
114,never
115,let
116,your
117,fear
118,decide
119,your
120,fate
121,i
122,say
123,you
124,kill
125,your
126,heroes
127,fly
128,fly
129,baby
130,cry
131,need
132,worry
133,'cause
134,everybody
135,die
136,every
137,day
138,go
139,go
140,baby
141,go
142,you
143,worry
144,love
145,you
146,you
147,know
148,i
149,say
150,you
151,kill
152,your
153,heroes
154,fly
155,fly
156,baby
157,cry
158,need
159,worry
160,'cause
161,everybody
162,die
163,every
164,day
165,go
166,go
167,baby
168,go
169,you
170,worry
171,love
172,you
173,you
174,know
