,Over My Dead Body_Drake
0,chantal
1,kreviazuk
2,i'm
3,feeling
4,matter
5,'cause
6,you
7,know
8,i'm
9,okay
10,instead
11,i
12,ask
13,myself
14,you
15,worry
16,you
17,know
18,you
19,know
20,i'm
21,i
22,know
23,i
24,know
25,you
26,love
27,me
28,baby
29,they’re
30,trying
31,take
32,you
33,away
34,me
35,my
36,dead
37,body
38,drake
39,i
40,think
41,i
42,killed
43,e'rybody
44,game
45,last
46,year
47,man
48,fuck
49,i
50,though
51,i
52,thought
53,i
54,found
55,girl
56,my
57,dreams
58,strip
59,club
60,mmmmmm
61,fuck
62,i
63,wrong
64,though
65,shout
66,my
67,niggas
68,living
69,tax
70,free
71,nowadays
72,six
73,figures
74,tax
75,me
76,oh
77,well
78,i
79,guess
80,you
81,lose
82,win
83,long
84,outcome
85,income
86,you
87,know
88,i
89,want
90,shout
91,asian
92,girls
93,let
94,lights
95,dim
96,shots
97,came
98,i
99,know
100,sent
101,probably
102,bad
103,hoes
104,i'm
105,'bout
106,take
107,hint
108,yeah
109,you
110,know
111,me
112,well
113,nigga
114,i
115,mean
116,you
117,ain't
118,real
119,nigga
120,got
121,me
122,white
123,women
124,like
125,seal
126,nigga
127,slave
128,pussy
129,i'm
130,playing
131,field
132,nigga
133,people
134,really
135,discussing
136,my
137,career
138,asking
139,i'll
140,going
141,platinum
142,year
143,i
144,got
145,shit
146,world
147,wanna
148,hear
149,michael
150,jordan
151,still
152,got
153,his
154,hoop
155,earring
156,man
157,your
158,flows
159,bore
160,me
161,paint
162,drying
163,i
164,ever
165,trippin
166,ain't
167,mine
168,i
169,hearing
170,shit
171,you
172,say
173,grapevine
174,jealousy
175,love
176,hate
177,time
178,yeah
179,way
180,beginning
181,i
182,playing
183,i
184,ain't
185,even
186,notice
187,i
188,winning
189,refrain
190,drake
191,sound
192,you
193,fear
194,man
195,kids
196,wear
197,crowns
198,everything
199,right
200,chantal
201,kreviazuk
202,oh
203,i
204,know
205,i
206,know
207,you
208,love
209,me
210,baby
211,they’re
212,trying
213,take
214,you
215,away
216,me
217,my
218,dead
219,body
220,drake
221,you
222,say
223,i'm
224,old
225,news
226,well
227,new
228,star
229,cause
230,i'm
231,going
232,anywhere
233,probably
234,far
235,performed
236,bar
237,mitzvah
238,states
239,used
240,half
241,money
242,beat
243,my
244,brother's
245,case
246,red
247,wine
248,fed
249,time
250,shout
251,niggas
252,that's
253,dead
254,time
255,shout
256,bitches
257,bedtime
258,fuck
259,you
260,niggas
261,think
262,time
263,yeah
264,make
265,me
266,take
267,your
268,life
269,apart
270,boy
271,you
272,whoever
273,fuck
274,gave
275,you
276,your
277,start
278,boy
279,oh
280,you
281,wanna
282,motherfucking
283,funny
284,guy
285,make
286,me
287,break
288,your
289,kevin
290,hart
291,boy
292,yeah
293,whatever
294,you
295,know
296,feeling
297,good
298,living
299,better
300,i
301,think
302,maybe
303,i
304,numb
305,last
306,year
307,you
308,know
309,i
310,feel
311,ever
312,my
313,city
314,love
315,me
316,like
317,mac
318,dre
319,bay
320,second
321,album
322,i'm
323,back
324,paving
325,way
326,backpackers
327,back
328,bandwagon
329,like
330,my
331,comeback
332,season
333,back
334,back
335,day
336,i
337,met
338,your
339,baby
340,moms
341,last
342,night
343,took
344,picture
345,together
346,i
347,hope
348,she
349,frames
350,i
351,drinking
352,palms
353,last
354,night
355,ended
356,losing
357,everything
358,i
359,came
360,feel
361,like
362,i've
363,huh
364,i
365,still
366,got
367,ten
368,years
369,go
370,huh
371,refrain
372,drake
373,sound
374,you
375,fear
376,man
377,kids
378,wear
379,crowns
380,everything
381,right
382,chantal
383,kreviazuk
384,oh
385,i
386,know
387,i
388,know
389,you
390,love
391,me
392,baby
393,they’re
394,trying
395,take
396,you
397,away
398,me
399,my
400,dead
401,body
402,three
403,morning
404,still
405,going
406,produced
407,chantal
408,kreviazuk
409,noah
410,shebib
