,Because You Loved Me_Céline Dion
0,times
1,stood
2,truth
3,made
4,see
5,joy
6,brought
7,life
8,wrong
9,made
10,right
11,every
12,dream
13,made
14,come
15,true
16,love
17,found
18,would
19,forever
20,thankful
21,baby
22,one
23,held
24,never
25,let
26,fall
27,one
28,saw
29,strength
30,weak
31,voice
32,speak
33,eyes
34,see
35,saw
36,best
37,lifted
38,reach
39,gave
40,faith
41,'cause
42,believed
43,i'm
44,everything
45,loved
46,gave
47,wings
48,made
49,fly
50,touched
51,hand
52,could
53,touch
54,sky
55,lost
56,faith
57,gave
58,back
59,said
60,star
61,reach
62,stood
63,stood
64,tall
65,love
66,i'm
67,grateful
68,day
69,gave
70,maybe
71,know
72,much
73,know
74,much
75,true
76,blessed
77,loved
78,strength
79,weak
80,strength
81,voice
82,speak
83,eyes
84,see
85,saw
86,best
87,lifted
88,reach
89,gave
90,faith
91,'cause
92,believed
93,i'm
94,everything
95,loved
96,always
97,tender
98,wind
99,carried
100,light
101,dark
102,shining
103,love
104,life
105,inspiration
106,lies
107,truth
108,world
109,better
110,place
111,strength
112,weak
113,strength
114,voice
115,speak
116,speak
117,eyes
118,see
119,saw
120,best
121,lifted
122,reach
123,gave
124,faith
125,'cause
126,believed
127,i'm
128,everything
129,loved
130,strength
131,weak
132,voice
133,speak
134,voice
135,eyes
136,see
137,saw
138,best
139,lifted
140,reach
141,gave
142,faith
143,'cause
144,believed
145,i'm
146,everything
147,loved
148,oh
149,outro
150,i'm
151,everything
152,loved
