,Sure Thing_Miguel
0,love
1,like
2,brother
3,treat
4,like
5,friend
6,respect
7,like
8,lover
9,refrain
10,could
11,bet
12,never
13,gotta
14,sweat
15,could
16,bet
17,never
18,gotta
19,sweat
20,could
21,bet
22,never
23,gotta
24,sweat
25,could
26,bet
27,never
28,gotta
29,sweat
30,cash
31,i'll
32,rubber
33,band
34,match
35,fuse
36,boom
37,painter
38,baby
39,could
40,muse
41,i'm
42,reporter
43,baby
44,could
45,news
46,cause
47,cigarette
48,i'm
49,smoker
50,raise
51,bet
52,cause
53,joker
54,truth
55,though
56,chalk
57,could
58,blackboard
59,talk
60,could
61,walk
62,even
63,sky
64,comes
65,falling
66,even
67,sun
68,shine
69,got
70,faith
71,put
72,pretty
73,little
74,hand
75,mine
76,even
77,we're
78,wire
79,babe
80,even
81,die
82,baby
83,simple
84,plain
85,cause
86,love
87,sure
88,thing
89,refrain
90,could
91,bet
92,never
93,got
94,sweat
95,could
96,bet
97,never
98,got
99,sweat
100,could
101,bet
102,never
103,got
104,sweat
105,could
106,bet
107,never
108,got
109,sweat
110,could
111,lover
112,i'll
113,fighter
114,babe
115,i'm
116,blunt
117,could
118,lighter
119,babe
120,fire
121,writer
122,babe
123,could
124,quote
125,i'm
126,lyric
127,baby
128,could
129,note
130,record
131,saint
132,i'm
133,sinner
134,prize
135,i'm
136,winner
137,deserve
138,paper
139,baby
140,i'll
141,pen
142,say
143,i'm
144,one
145,cause
146,ten
147,real
148,pretend
149,even
150,sky
151,comes
152,fallin
153,even
154,sun
155,shine
156,got
157,faith
158,put
159,pretty
160,lil
161,hand
162,mine
163,even
164,we're
165,wire
166,babe
167,even
168,die
169,babe
170,simple
171,plain
172,cause
173,love
174,sure
175,thing
176,bridge
177,rock
178,baby
179,let
180,hold
181,arms
182,talk
183,baby
184,rock
185,baby
186,let
187,hold
188,arms
189,talk
190,baby
191,love
192,simple
193,pie
194,baby
195,sure
196,thing
197,oh
198,sure
199,thing
200,sure
201,thing
202,oh
203,sure
204,thing
205,sure
206,thing
207,oh
208,sure
209,thing
210,even
211,sky
212,comes
213,fallin
214,even
215,sun
216,shine
217,got
218,faith
219,put
220,pretty
221,little
222,hand
223,mine
224,even
225,we're
226,wire
227,babe
228,even
229,die
230,baby
231,simple
232,plain
233,love
234,sure
235,thing
236,outro
237,love
238,like
239,brother
240,treat
241,like
242,friend
243,respect
244,like
245,lover
