,Replay_Iyaz
0,shawty's
1,like
2,melody
3,head
4,can't
5,keep
6,got
7,singin'
8,like
9,na-na-na-na
10,everyday
11,like
12,ipod
13,stuck
14,replay
15,replay-ay-ay-ay
16,shawty's
17,like
18,melody
19,head
20,can't
21,keep
22,got
23,singin'
24,like
25,ayy
26,na-na-na-na
27,everyday
28,like
29,ipod
30,stuck
31,replay
32,j-j-j-jr
33,replay
34,remember
35,first
36,time
37,met
38,mall
39,wit'
40,yo'
41,friend
42,scared
43,approach
44,ya
45,came
46,closer
47,hopin'
48,would
49,give
50,chance
51,would
52,ever
53,knew
54,would
55,ever
56,friends
57,we're
58,real
59,worldwide
60,breaking
61,rules
62,like
63,song
64,played
65,pre-chorus
66,girl
67,like
68,somethin'
69,poster
70,girl
71,dime
72,say
73,girl
74,gun
75,holster
76,running
77,mind
78,day
79,ayy
80,shawty's
81,like
82,melody
83,head
84,can't
85,keep
86,got
87,singin'
88,like
89,ayy
90,na-na-na-na
91,everyday
92,like
93,ipod
94,stuck
95,replay
96,replay-ay-ay-ay
97,shawty's
98,like
99,melody
100,head
101,can't
102,keep
103,got
104,singin'
105,like
106,ayy
107,na-na-na-na
108,everyday
109,like
110,ipod
111,stuck
112,replay
113,replay-ay-ay-ay
114,see
115,around
116,globe
117,leave
118,mind
119,talk
120,phone
121,night
122,'til
123,morn'
124,girl
125,really
126,changed
127,life
128,doin'
129,things
130,never
131,i'm
132,kitchen
133,cookin'
134,things
135,likes
136,we're
137,real
138,worldwide
139,breaking
140,rules
141,someday
142,wanna
143,make
144,wife
145,pre-chorus
146,girl
147,like
148,somethin'
149,poster
150,girl
151,dime
152,say
153,girl
154,gun
155,holster
156,running
157,mind
158,day
159,ayy
160,shawty's
161,like
162,melody
163,head
164,can't
165,keep
166,got
167,singin'
168,like
169,ayy
170,na-na-na-na
171,everyday
172,like
173,ipod
174,stuck
175,replay
176,replay-ay-ay-ay
177,shawty's
178,like
179,melody
180,head
181,can't
182,keep
183,got
184,singin'
185,like
186,ayy
187,na-na-na-na
188,everyday
189,like
190,ipod
191,stuck
192,replay
193,replay-ay-ay-ay
194,bridge
195,melody
196,oh
197,girl
198,could
199,write
200,symphony
201,one
202,could
203,fill
204,fantasies
205,come
206,baby
207,girl
208,let's
209,sing
210,ayy
211,melody
212,oh
213,girl
214,could
215,write
216,symphony
217,one
218,could
219,fill
220,fantasies
221,come
222,baby
223,girl
224,let's
225,sing
226,ayy
227,na
228,na-na
229,na-na
230,na-na
231,na-na
232,na-na
233,na-naa
234,shawty
235,got
236,singin'
237,na
238,na-na
239,na-na
240,na-na
241,na-na
242,na-na
243,na-naa
244,got
245,singin'
246,shawty's
247,like
248,melody
249,head
250,can't
251,keep
252,got
253,singin'
254,like
255,ayy
256,na-na-na-na
257,everyday
258,like
259,ipod
260,stuck
261,replay
262,replay-ay-ay-ay
263,shawty's
264,like
265,melody
266,head
267,like
268,melody
269,can't
270,keep
271,got
272,singin'
273,like
274,ayy
275,na-na-na-na
276,everyday
277,like
278,ipod
279,stuck
280,replay
281,replay-ay-ay-ay
