,Un-Thinkable (I'm Ready)_Alicia Keys
0,moment
1,honesty
2,someone's
3,gotta
4,take
5,lead
6,tonight
7,who's
8,gonna
9,i'm
10,gonna
11,sit
12,right
13,tell
14,comes
15,something
16,say
17,say
18,right
19,say
20,right
21,pre-chorus
22,give
23,feeling
24,never
25,felt
26,deserve
27,think
28,deserve
29,becoming
30,something
31,that's
32,impossible
33,ignore
34,can't
35,take
36,wondering
37,maybe
38,could
39,make
40,baby
41,unthinkable
42,would
43,make
44,us
45,look
46,crazy
47,ask
48,i'm
49,ready
50,i'm
51,ready
52,ask
53,i'm
54,ready
55,i'm
56,ready
57,know
58,said
59,exactly
60,feel
61,meant
62,time
63,wasting
64,wait
65,eventually
66,gonna
67,something
68,right
69,right
70,pre-chorus
71,give
72,feeling
73,never
74,felt
75,deserve
76,know
77,deserve
78,becoming
79,something
80,that's
81,impossible
82,ignore
83,make
84,wondering
85,maybe
86,could
87,make
88,baby
89,unthinkable
90,would
91,make
92,us
93,look
94,crazy
95,would
96,beautiful
97,either
98,way
99,i'm
100,sayin'
101,ask
102,i'm
103,ready
104,i'm
105,ready
106,ask
107,i'm
108,ready
109,i'm
110,ready
111,bridge
112,yeah
113,yeah
114,sayin'
115,give
116,try
117,feel
118,lows
119,highs
120,clip
121,wings
122,fly
123,away
124,fly
125,away
126,can't
127,say
128,can't
129,compare
130,i'm
131,suspended
132,air
133,come
134,sky
135,wondering
136,maybe
137,could
138,make
139,baby
140,unthinkable
141,would
142,make
143,us
144,look
145,crazy
146,would
147,beautiful
148,either
149,way
150,i'm
151,sayin'
152,ask
153,i'm
154,ready
155,i'm
156,ready
157,ask
158,i'm
159,ready
160,i'm
161,ready
162,ask
163,i'm
164,ready
165,i'm
166,ready
167,ask
168,i'm
169,ready
170,i'm
171,ready
