,Give in to Me_Michael Jackson
0,she
1,always
2,takes
3,heart
4,stone
5,'cause
6,she
7,throws
8,back
9,me
10,i've
11,spent
12,lifetime
13,looking
14,someone
15,try
16,understand
17,me
18,simply
19,things
20,i
21,say
22,love
23,feeling
24,give
25,i
26,want
27,'cause
28,i'm
29,fire
30,quench
31,my
32,desire
33,give
34,i
35,want
36,talk
37,me
38,woman
39,give
40,me
41,give
42,me
43,you
44,always
45,knew
46,make
47,me
48,cry
49,never
50,i
51,ask
52,you
53,questions
54,seems
55,you
56,get
57,your
58,kicks
59,hurting
60,me
61,try
62,understand
63,me
64,your
65,words
66,enough
67,love
68,feeling
69,quench
70,my
71,desire
72,give
73,i
74,want
75,taking
76,me
77,higher
78,love
79,woman
80,i
81,wanna
82,hear
83,give
84,me
85,give
86,me
87,you
88,your
89,friends
90,laughing
91,me
92,town
93,okay
94,okay
95,you
96,laughing
97,girl
98,i'm
99,around
100,i'll
101,okay
102,i'd
103,i'd
104,never
105,find
106,better
107,peace
108,mind
109,guitar
110,solo
111,prechorus
112,try
113,tell
114,me
115,your
116,words
117,enough
118,love
119,feeling
120,quench
121,my
122,desire
123,give
124,i
125,want
126,taking
127,me
128,higher
129,talk
130,me
131,woman
132,love
133,feeling
134,give
135,me
136,give
137,me
138,give
139,me
140,oh
141,love
142,feeling
143,i
144,wanna
145,hear
146,quench
147,my
148,desire
149,taking
150,me
151,higher
152,tell
153,preacher
154,satisfy
155,feeling
156,give
157,me
158,give
159,me
160,guitar
161,solo
162,i
163,wanna
164,i
165,wanna
166,i
167,wanna
168,hear
169,give
170,fire
171,talk
172,me
173,woman
174,quench
175,my
176,desire
177,i'd
178,like
179,lady
180,talk
181,me
182,baby
183,give
184,me
185,give
186,fire
187,give
188,me
189,give
190,me
191,give
192,me
193,love
194,woman
195,give
196,me
197,give
198,me
199,give
200,me
201,give
202,me
203,'cause
204,i'm
205,fire
206,talk
207,me
208,woman
209,quench
210,my
211,desire
212,give
213,feeling
