,Talk Dirty (feat. 2 Chainz)_Jason Derülo
0,prod
1,ricky
2,reed
3,jason
4,derulo
5,&
6,rie
7,abe
8,jason
9,haha
10,jason
11,derulo
12,haha
13,get
14,jazzy
15,'em
16,jason
17,derulo
18,i'm
19,flight
20,get
21,international
22,first-class
23,seat
24,lap
25,girl
26,riding
27,comfortable
28,oh
29,yeah
30,ha
31,'cause
32,know
33,da
34,girl
35,dem
36,need
37,new
38,york
39,haiti
40,got
41,lipstick
42,stamps
43,passport
44,make
45,hard
46,leave
47,pre-chorus
48,jason
49,derulo
50,around
51,world
52,speak
53,language
54,uh-huh
55,booty
56,need
57,explaining
58,uh-huh
59,really
60,need
61,understand
62,uh-huh
63,talk
64,dirty
65,jason
66,derulo
67,talk
68,dirty
69,talk
70,dirty
71,talk
72,dirty
73,get
74,jazzy
75,'em
76,jason
77,derulo
78,know
79,words
80,songs
81,habla
82,inglés
83,oh
84,conversations
85,ain't
86,long
87,know
88,know
89,girl
90,dem
91,want
92,london
93,taiwan
94,got
95,lipstick
96,stamps
97,passport
98,think
99,need
100,new
101,one
102,pre-chorus
103,jason
104,derulo
105,around
106,world
107,speak
108,language
109,uh-huh
110,booty
111,need
112,explaining
113,uh-huh
114,really
115,need
116,understand
117,uh-huh
118,talk
119,dirty
120,jason
121,derulo
122,talk
123,dirty
124,talk
125,dirty
126,talk
127,dirty
128,bridge
129,jason
130,derulo
131,&
132,chainz
133,uno
134,met
135,friend
136,rio
137,dos
138,me-o
139,tres
140,could
141,ménage
142,à
143,three-o
144,cuatro
145,oh
146,yeah
147,chainz
148,chainz
149,w/
150,jason
151,derulo
152,jason
153,derulo
154,dos
155,cadenas
156,close
157,genius
158,sold
159,arenas
160,suck
161,penis
162,ooh
163,gilbert
164,arenas
165,guns
166,deck
167,deck
168,chest
169,chest
170,tongue
171,neck
172,neck
173,international
174,oral
175,sex
176,every
177,picture
178,take
179,pose
180,threat
181,yeah
182,bought
183,jet
184,expect
185,pussy
186,good
187,bought
188,pet
189,oh
190,oh
191,oh
192,oh
193,anyway
194,every
195,day
196,i'm
197,trying
198,get
199,got
200,saved
201,phone
202,"""big"
203,"booty"""
204,ha-ha
205,anyway
206,every
207,day
208,i'm
209,trying
210,get
211,got
212,saved
213,phone
214,"""big"
215,"booty"""
216,pre-chorus
217,jason
218,derulo
219,around
220,world
221,speak
222,language
223,uh-huh
224,booty
225,need
226,explaining
227,uh-huh
228,really
229,need
230,understand
231,uh-huh
232,talk
233,dirty
234,jason
235,derulo
236,talk
237,dirty
238,yeah
239,yeah
240,talk
241,dirty
242,talk
243,talk
244,dirty
245,ooh
246,oh
247,yeah
248,get
249,jazzy
250,'em
251,outro
252,rie
253,abe
254,understand
