,I'm Waiting for the Day_The Beach Boys
0,came
1,along
2,broke
3,heart
4,that's
5,needed
6,someone
7,help
8,forget
9,gave
10,love
11,brand
12,new
13,start
14,that's
15,needed
16,set
17,broken
18,heart
19,free
20,know
21,cried
22,felt
23,blue
24,could
25,gave
26,strength
27,i'm
28,waiting
29,day
30,love
31,kissed
32,lips
33,face
34,looked
35,sad
36,made
37,think
38,still
39,loved
40,know
41,pretty
42,soon
43,made
44,feel
45,glad
46,belonged
47,love
48,began
49,show
50,hurt
51,that's
52,gone
53,guess
54,i'm
55,saying
56,one
57,i'm
58,waiting
59,day
60,love
61,instrumental
62,hurt
63,that's
64,done
65,guess
66,i'm
67,saying
68,one
69,i'm
70,waiting
71,day
72,love
73,think
74,could
75,sit
76,around
77,let
78,work
79,think
80,could
81,sit
82,around
83,watch
84,take
85,think
86,could
87,sit
88,around
89,watch
90,go
91,think
92,could
93,sit
94,back
95,let
96,go
97,think
