,Cool Girl_Tove Lo
0,you
1,run
2,free
3,i
4,hold
5,against
6,ya
7,you
8,your
9,thing
10,never
11,wanted
12,future
13,fuck
14,i
15,knew
16,put
17,romantic
18,speaking
19,my
20,truth
21,there's
22,need
23,panic
24,prechorus
25,let's
26,put
27,label
28,let's
29,keep
30,fun
31,put
32,label
33,run
34,free
35,yeah
36,i
37,wanna
38,free
39,like
40,you
41,i'm
42,i'm
43,i'm
44,cool
45,girl
46,i'm
47,i'm
48,cool
49,girl
50,ice
51,cold
52,i
53,roll
54,my
55,eyes
56,you
57,boy
58,i'm
59,cool
60,girl
61,i'm
62,i'm
63,cool
64,girl
65,ice
66,cold
67,i
68,roll
69,my
70,eyes
71,you
72,boy
73,rules
74,you
75,like
76,you
77,still
78,wanna
79,keep
80,'em
81,said
82,you
83,fine
84,whatever
85,reason
86,sure
87,chill
88,try
89,keep
90,platonic
91,you
92,can't
93,tell
94,i'm
95,really
96,ironic
97,prechorus
98,let's
99,put
100,label
101,let's
102,keep
103,fun
104,put
105,label
106,run
107,free
108,yeah
109,i
110,wanna
111,free
112,like
113,you
114,i'm
115,i'm
116,i'm
117,cool
118,girl
119,i'm
120,i'm
121,cool
122,girl
123,ice
124,cold
125,i
126,roll
127,my
128,eyes
129,you
130,boy
131,i'm
132,cool
133,girl
134,i'm
135,i'm
136,cool
137,girl
138,ice
139,cold
140,i
141,roll
142,my
143,eyes
144,you
145,boy
146,i'm
147,cool
148,girl
149,i'm
150,i'm
151,cool
152,girl
153,ice
154,cold
155,i
156,roll
157,my
158,eyes
159,you
160,boy
161,i'm
162,cool
163,girl
164,i'm
165,i'm
166,cool
167,girl
168,ice
169,cold
170,i
171,roll
172,my
173,eyes
174,you
175,boy
176,i
177,got
178,fever
179,highs
180,i
181,got
182,boiling
183,blood
184,i'm
185,fire
186,kind
187,could
188,burn
189,together
190,i'm
191,i'm
192,cool
193,girl
194,i'm
195,i'm
196,cool
197,girl
198,ice
199,cold
200,i
201,roll
202,my
203,eyes
204,you
205,boy
206,i'm
207,cool
208,girl
209,i'm
210,i'm
211,cool
212,girl
213,ice
214,cold
215,i
216,roll
217,my
218,eyes
219,you
220,boy
221,i'm
222,cool
223,girl
224,i'm
225,i'm
226,cool
227,girl
228,cool
229,you
230,i'm
231,cool
232,girl
233,i'm
234,i'm
235,i'm
236,i'm
237,i'm
238,i'm
239,cool
240,girl
241,i'm
242,i'm
243,cool
244,girl
245,ice
246,cold
247,i
248,roll
249,my
250,eyes
251,you
252,boy
