,Somebody to Love_Justin Bieber
0,you
1,i'd
2,write
3,symphony
4,i'd
5,tell
6,violin
7,time
8,sink
9,swim
10,watch
11,play
12,ya
13,you
14,i'd
15,whoa
16,oh
17,running
18,thousand
19,miles
20,get
21,you
22,step
23,beat
24,my
25,heart
26,prechorus
27,i
28,need
29,whole
30,lot
31,you
32,i
33,admit
34,i
35,i'd
36,rather
37,give
38,you
39,world
40,share
41,mine
42,i
43,know
44,i
45,first
46,one
47,giving
48,you
49,attention
50,baby
51,listen
52,i
53,need
54,somebody
55,love
56,i
57,need
58,much
59,somebody
60,love
61,somebody
62,love
63,i
64,need
65,nothing
66,else
67,i
68,promise
69,girl
70,i
71,swear
72,i
73,need
74,somebody
75,love
76,i
77,need
78,somebody
79,i
80,need
81,somebody
82,i
83,need
84,somebody
85,i
86,need
87,somebody
88,every
89,day
90,i
91,bring
92,sun
93,around
94,i
95,sweep
96,away
97,clouds
98,smile
99,me
100,i
101,would
102,take
103,every
104,second
105,every
106,single
107,time
108,spend
109,like
110,my
111,last
112,dime
113,step
114,beat
115,my
116,heart
117,prechorus
118,i
119,need
120,whole
121,lot
122,you
123,i
124,admit
125,i
126,i'd
127,rather
128,give
129,you
130,world
131,share
132,mine
133,i
134,know
135,i
136,first
137,one
138,giving
139,you
140,attention
141,baby
142,listen
143,i
144,need
145,somebody
146,love
147,i
148,need
149,much
150,somebody
151,love
152,somebody
153,love
154,i
155,need
156,nothing
157,else
158,i
159,promise
160,girl
161,i
162,swear
163,i
164,need
165,somebody
166,love
167,i
168,need
169,somebody
170,i
171,need
172,somebody
173,i
174,need
175,somebody
176,i
177,need
178,somebody
179,somebody
180,love
181,i
182,need
183,somebody
184,i
185,need
186,somebody
187,i
188,need
189,somebody
190,i
191,need
192,somebody
193,i
194,need
195,somebody
196,love
197,you
198,anything
199,you
200,want
201,i
202,bring
203,give
204,you
205,finer
206,things
207,yeah
208,i
209,really
210,want
211,i
212,can't
213,find
214,cause
215,money
216,can't
217,find
218,me
219,somebody
220,love
221,oh
222,oh
223,find
224,me
225,somebody
226,love
227,oh
228,i
229,need
230,somebody
231,love
232,i
233,need
234,much
235,somebody
236,love
237,somebody
238,love
239,i
240,need
241,nothing
242,else
243,i
244,promise
245,girl
246,i
247,swear
248,i
249,need
250,somebody
251,love
252,i
253,need
254,somebody
255,i
256,need
257,somebody
258,i
259,need
260,somebody
261,i
262,need
263,somebody
264,somebody
265,love
266,i
267,need
268,somebody
269,i
270,need
271,somebody
272,i
273,need
274,somebody
275,i
276,need
277,somebody
278,i
279,need
280,somebody
281,love
282,i
283,need
284,somebody
285,i
286,need
287,somebody
288,i
289,need
290,somebody
291,love
292,she
293,she
294,she
295,she
296,i
297,need
298,somebody
299,love
