,In Your Light_Gotye
0,get
1,morning
2,i
3,can't
4,keep
5,i'm
6,falling
7,myself
8,i
9,could
10,jump
11,my
12,skin
13,wanna
14,break
15,door
16,greet
17,day
18,'cause
19,ain't
20,nothing
21,that's
22,certain
23,keep
24,my
25,blues
26,away
27,i
28,say
29,la
30,la
31,hey
32,hey
33,i
34,say
35,la
36,la
37,hey
38,hey
39,settle
40,sadness
41,voices
42,my
43,head
44,i'm
45,glow
46,warmth
47,you
48,throw
49,i
50,put
51,bed
52,your
53,light
54,i'm
55,your
56,light
57,your
58,light
59,i'm
60,your
61,light
62,your
63,light
64,i'm
65,your
66,light
67,your
68,light
69,i'm
70,your
71,light
72,your
73,light
74,i'm
75,your
76,light
77,your
78,light
79,i'm
80,your
81,light
82,i
83,get
84,you
85,take
86,light
87,away
88,your
89,light
90,i'm
91,your
92,light
93,you're
94,smiling
95,me
96,i
97,need
98,put
99,behind
100,me
101,my
102,worry
103,life's
104,complexities
105,may
106,moment
107,world
108,falls
109,away
110,i
111,forget
112,myself
113,everything
114,else
115,depressed
116,me
117,yesterday
118,i
119,sing
120,la
121,la
122,hey
123,hey
124,yeah
125,i
126,sing
127,la
128,la
129,hey
130,hey
131,i'm
132,your
133,light
134,clear
135,i
136,could
137,always
138,i
139,right
140,i'm
141,your
142,light
143,i'm
144,your
145,light
146,i
147,get
148,you
149,take
150,light
151,away
152,la
153,la
154,hey
155,hey
156,your
157,light
158,i'm
159,your
160,light
161,i'm
162,your
163,light
164,clear
165,your
166,light
167,i'm
168,your
169,light
170,i
171,could
172,always
173,i
174,right
175,your
176,light
177,i'm
178,your
179,light
180,your
181,light
182,i'm
183,your
184,light
185,your
186,light
187,i'm
188,your
189,light
190,i
191,get
192,you
193,take
194,light
195,away
196,your
197,light
198,i'm
199,your
200,light
201,i
202,get
203,you
204,take
205,light
206,away
207,your
208,light
209,i'm
210,your
211,light
212,i
213,get
214,you
215,take
216,light
217,away
