,When We Dance_Sting
0,he
1,loves
2,you
3,like
4,i
5,love
6,you
7,i
8,would
9,walk
10,away
11,shame
12,i'd
13,move
14,town
15,i'd
16,change
17,my
18,name
19,he
20,watches
21,you
22,he
23,counts
24,buy
25,your
26,soul
27,your
28,hand
29,his
30,golden
31,rings
32,like
33,he
34,owns
35,bird
36,sings
37,dance
38,angels
39,run
40,hide
41,wings
42,priest
43,said
44,my
45,soul's
46,salvation
47,balance
48,angels
49,underneath
50,wheels
51,passion
52,i
53,keep
54,faith
55,my
56,fashion
57,dance
58,angels
59,run
60,hide
61,wings
62,i'm
63,still
64,love
65,you
66,i'm
67,going
68,find
69,place
70,live
71,give
72,you
73,i've
74,got
75,give
76,dance
77,angels
78,run
79,hide
80,wings
81,dance
82,angels
83,run
84,hide
85,wings
86,i
87,could
88,break
89,walls
90,shout
91,my
92,name
93,heaven's
94,gate
95,i'd
96,take
97,hands
98,i'd
99,destroy
100,dark
101,machineries
102,fate
103,cathedrals
104,broken
105,heaven's
106,longer
107,hellfire's
108,promise
109,away
110,i'd
111,still
112,saying
113,i'm
114,still
115,love
116,he
117,love
118,you
119,like
120,i
121,love
122,you
123,he
124,care
125,you
126,way
127,he'll
128,mistreat
129,you
130,you
131,stay
132,come
133,live
134,me
135,we'll
136,children
137,i
138,would
139,love
140,you
141,life
142,you'll
143,come
144,my
145,wife
146,dance
147,angels
148,run
149,hide
150,wings
151,dance
152,angels
153,run
154,hide
155,wings
156,dance
157,angels
158,run
159,hide
160,wings
161,dance
162,angels
163,run
164,hide
165,wings
