,To Sheila_The Smashing Pumpkins
0,twilight
1,fades
2,blistered
3,avalon
4,sky’s
5,cruel
6,torch
7,aching
8,autobahn
9,uncertain
10,divine
11,scream
12,last
13,divide
14,you
15,make
16,me
17,real
18,you
19,make
20,me
21,real
22,strong
23,i
24,feel
25,you
26,make
27,me
28,real
29,sheila
30,rides
31,crashing
32,nightingale
33,intake
34,eyes
35,leave
36,passing
37,vapor
38,trails
39,blushing
40,brilliance
41,alive
42,it’s
43,time
44,arrive
45,you
46,make
47,me
48,real
49,you
50,make
51,me
52,real
53,strong
54,i
55,feel
56,you
57,make
58,me
59,real
60,lately
61,i
62,can’t
63,seem
64,believe
65,discard
66,my
67,friends
68,change
69,scenery
70,meant
71,world
72,hold
73,bruising
74,faith
75,it’s
76,matter
77,grace
78,summer
79,storm
80,graces
81,me
82,highway
83,warm
84,sing
85,silent
86,poetry
87,i
88,could
89,bring
90,you
91,light
92,take
93,you
94,home
95,night
96,you
97,make
98,me
99,real
100,you
101,make
102,me
103,real
104,strong
105,i
106,feel
107,you
108,make
109,me
110,real
111,lately
112,i
113,can't
114,seem
115,believe
116,discard
117,my
118,friends
119,change
120,scenery
121,meant
122,world
123,hold
124,bruising
125,faith
126,matter
127,grace
128,next
129,⇨
