,Losing You_Solange
0,tell
1,me
2,truth
3,boy
4,i
5,losing
6,you
7,good
8,used
9,kiss
10,night
11,there’s
12,use
13,i
14,don’t
15,know
16,i
17,fight
18,clearly
19,tell
20,me
21,truth
22,boy
23,i
24,losing
25,you
26,good
27,i
28,know
29,you're
30,waiting
31,words
32,you
33,can't
34,get
35,me
36,treat
37,me
38,good
39,baby
40,i'll
41,give
42,you
43,rest
44,me
45,i'm
46,one
47,you
48,making
49,your
50,enemy
51,i'm
52,one
53,you
54,making
55,your
56,enemy
57,tell
58,me
59,truth
60,boy
61,i
62,losing
63,you
64,good
65,used
66,kiss
67,night
68,there's
69,use
70,i
71,don’t
72,know
73,i
74,fight
75,clearly
76,tell
77,me
78,truth
79,boy
80,i
81,losing
82,you
83,good
84,there's
85,nothing
86,i
87,know
88,you're
89,taking
90,away
91,me
92,i
93,gave
94,you
95,everything
96,there's
97,nothing
98,left
99,me
100,i'm
101,one
102,you
103,making
104,your
105,enemy
106,i'm
107,one
108,you
109,making
110,your
111,enemy
112,tell
113,me
114,truth
115,boy
116,i
117,losing
118,you
119,good
120,used
121,kiss
122,night
123,it’s
124,use
125,i
126,don’t
127,know
128,i
129,fight
130,clearly
131,tell
132,me
133,truth
134,boy
135,i
136,losing
137,you
138,good
139,tell
140,me
141,truth
142,boy
143,i
144,losing
145,you
146,good
147,baby
148,you
149,know
150,i
151,tried
152,can't
153,lose
154,you
155,my
156,life
157,used
158,kiss
159,night
160,it’s
161,use
162,baby
163,you
164,know
165,i
166,tried
167,could
168,you
169,waste
170,my
171,time
172,i
173,don’t
174,know
175,i
176,fight
177,clearly
178,baby
179,you
180,know
181,i
182,can't
183,lose
184,you
185,my
186,life
187,tell
188,me
189,truth
190,boy
191,i
192,losing
193,you
194,good
195,baby
196,you
197,know
198,i
