,Love Like Crazy_Lee Brice
0,called
1,crazy
2,started
3,said
4,seventeen's
5,young
6,know
7,love's
8,they've
9,together
10,fifty-eight
11,years
12,that's
13,crazy
14,brought
15,home
16,sixty-seven
17,bucks
18,week
19,bought
20,little
21,bedroom
22,house
23,maple
24,street
25,blessed
26,six
27,mouths
28,feed
29,yeah
30,that's
31,crazy
32,ask
33,he'll
34,say
35,pull
36,seat
37,it'll
38,take
39,minute
40,tell
41,everything
42,best
43,friend
44,tell
45,truth
46,overuse
47,love
48,go
49,work
50,best
51,outsmart
52,common
53,sense
54,never
55,let
56,prayin'
57,knees
58,get
59,lazy
60,love
61,like
62,crazy
63,called
64,crazy
65,quit
66,job
67,said
68,home
69,computers
70,boy
71,they'll
72,never
73,take
74,sold
75,one
76,man
77,shop
78,microsoft
79,paid
80,like
81,crazy
82,ask
83,made
84,he'll
85,tell
86,faith
87,sweat
88,heart
89,faithful
90,woman
91,never
92,let
93,forget
94,best
95,friend
96,tell
97,truth
98,overuse
99,love
100,go
101,work
102,best
103,outsmart
104,common
105,sense
106,never
107,let
108,prayin'
109,knees
110,get
111,lazy
112,love
113,like
114,crazy
115,always
116,treat
117,woman
118,like
119,lady
120,never
121,get
122,old
123,call
124,baby
125,never
126,let
127,prayin'
128,knees
129,get
130,lazy
131,love
132,like
133,crazy
134,called
135,crazy
136,started
137,they've
138,together
139,fifty-eight
140,years
141,ain't
142,crazy
