,Black Flies_Ben Howard
0,black
1,flies
2,windowsill
3,know
4,winter
5,stole
6,summer's
7,thrill
8,river's
9,cracked
10,cold
11,see
12,sky
13,man's
14,land
15,darkened
16,plume
17,stay
18,hope
19,needs
20,humble
21,hand
22,fox
23,found
24,your
25,place
26,man
27,island
28,oh
29,i
30,know
31,can't
32,you
33,see
34,oh
35,maybe
36,you
37,ocean
38,i
39,stone
40,black
41,flies
42,windowsill
43,hold
44,comfort
45,came
46,against
47,my
48,every
49,story
50,must
51,grow
52,old
53,still
54,i'll
55,traveler
56,gypsy's
57,reins
58,face
59,road
60,wearier
61,fool
62,found
63,your
64,place
65,man
66,island
67,oh
68,i
69,know
70,can't
71,you
72,see
73,oh
74,maybe
75,you
76,ocean
77,i
78,stone
79,man
80,island
81,oh
82,i
83,know
84,can't
85,you
86,see
87,oh
88,maybe
89,you
90,ocean
91,i
92,stone
93,i
94,wanna
95,beg
96,your
97,pardon
98,i
99,wanna
100,ask
101,you
102,i
103,go
104,my
105,way
106,would
107,i
108,pass
109,you
110,i
111,wanna
112,beg
113,your
114,pardon
115,i
116,wanna
117,ask
118,you
119,i
120,go
121,my
122,way
123,would
124,i
125,pass
126,you
