,Here with Me_The Killers
0,wheels
1,turnin'
2,i
3,remember
4,you
5,mine
6,reach
7,you
8,baby
9,i'd
10,stand
11,line
12,there's
13,another
14,world
15,we're
16,livin'
17,tonight
18,there's
19,another
20,heart
21,that's
22,fadin'
23,light
24,want
25,your
26,picture
27,my
28,cell
29,phone
30,i
31,want
32,you
33,me
34,want
35,your
36,memories
37,my
38,head
39,i
40,want
41,you
42,me
43,spent
44,summer
45,layin'
46,sun
47,time
48,seems
49,move
50,slowly
51,you're
52,taking
53,comes
54,maybe
55,young
56,your
57,body
58,tan
59,your
60,hair
61,long
62,you
63,shot
64,me
65,smile
66,my
67,cares
68,gone
69,fallin'
70,love
71,filled
72,my
73,soul
74,fright
75,you
76,said
77,come
78,babe
79,it'll
80,alright
81,i
82,must've
83,fool
84,bitter
85,end
86,i
87,hold
88,hope
89,i'll
90,you
91,back
92,i'd
93,bargain
94,i'd
95,fight
96,there's
97,another
98,world
99,you're
100,livin'
101,tonight
102,want
103,your
104,picture
105,my
106,cell
107,phone
108,i
109,want
110,you
111,me
112,i
113,want
114,your
115,memory
116,my
117,head
118,i
119,want
120,you
121,me
122,well
123,i
124,saw
125,you
126,restaurant
127,day
128,instead
129,walkin'
130,towards
131,you
132,i
133,ran
134,away
135,ran
136,away
137,i
138,keep
139,waitin'
140,you
141,you
142,come
143,around
144,come
145,around
146,say
147,i
148,want
149,your
150,picture
151,my
152,cell
153,phone
154,i
155,want
156,you
157,me
158,need
159,memories
160,my
161,head
162,i
163,want
164,you
165,me
166,ahhhhh
167,me
168,ahhhhh
169,me
