,I Miss You_Beyoncé
0,frank
1,ocean
2,let
3,motherfucking
4,beat
5,build
6,bitch
7,beyoncé
8,i
9,thought
10,things
11,like
12,get
13,better
14,time
15,i
16,still
17,need
18,you
19,you're
20,image
21,my
22,mind
23,i
24,still
25,see
26,you
27,around
28,beyoncé
29,i
30,miss
31,you
32,like
33,everyday
34,wanna
35,you
36,you're
37,away
38,said
39,i
40,miss
41,you
42,missing
43,you
44,insane
45,i
46,got
47,you
48,could
49,feel
50,beyoncé
51,words
52,ever
53,seem
54,come
55,right
56,i
57,still
58,mean
59,'em
60,hurts
61,my
62,pride
63,tell
64,you
65,i
66,feel
67,i
68,still
69,need
70,beyoncé
71,i
72,miss
73,you
74,like
75,everyday
76,wanna
77,you
78,you're
79,away
80,said
81,i
82,miss
83,you
84,missing
85,you
86,insane
87,i
88,got
89,you
90,could
91,feel
92,beyoncé
93,matter
94,you
95,simple
96,feeling
97,everything
98,matter
99,you
100,love
101,simple
102,feeling
103,everything
104,beyoncé
105,i
106,miss
107,you
108,like
109,everyday
110,wanna
111,you
112,you're
113,away
114,you're
115,away
116,said
117,i
118,miss
119,you
120,missing
121,you
122,insane
123,i
124,got
125,you
126,could
127,feel
128,beyoncé
129,matter
130,you
131,simple
132,feeling
133,everything
134,matter
135,you
136,love
137,simple
138,feeling
139,everything
