,The First Cut Is The Deepest_Cat Stevens
0,i
1,would
2,given
3,you
4,my
5,heart
6,there's
7,someone
8,who's
9,torn
10,apart
11,takin'
12,almost
13,i've
14,got
15,you
16,want
17,i'll
18,try
19,love
20,baby
21,i'll
22,try
23,love
24,i
25,know
26,first
27,cut
28,deepest
29,baby
30,i
31,know
32,first
33,cut
34,deepest
35,'cause
36,comes
37,bein'
38,lucky
39,cursed
40,comes
41,lovin'
42,me
43,worst
44,comes
45,bein'
46,loved
47,first
48,that's
49,i
50,know
51,first
52,cut
53,deepest
54,baby
55,i
56,know
57,first
58,cut
59,deepest
60,i
61,still
62,want
63,you
64,my
65,side
66,help
67,me
68,dry
69,tears
70,i've
71,cried
72,'cause
73,i'm
74,sure
75,gonna
76,give
77,you
78,try
79,you
80,want
81,i'll
82,try
83,love
84,baby
85,i'll
86,try
87,love
88,i
89,know
90,first
91,cut
92,deepest
93,baby
94,i
95,know
96,first
97,cut
98,deepest
99,'cause
100,comes
101,bein'
102,lucky
103,cursed
104,comes
105,lovin'
106,me
107,worst
108,comes
109,bein'
110,loved
111,first
112,that's
113,i
114,know
115,first
116,cut
117,deepest
118,baby
119,i
120,know
121,first
122,cut
123,deepest
124,baby
125,i
126,know
127,first
128,cut
129,deepest
130,baby
131,i
132,know
133,first
134,cut
135,deepest
136,'cause
137,comes
138,bein'
139,lucky
140,cursed
141,comes
142,lovin'
143,me
144,worst
145,comes
146,bein'
147,loved
148,first
149,that's
150,i
151,know
152,first
153,cut
154,deepest
155,baby
156,i
157,know
