,Sweet Love_Anita Baker
0,my
1,heart
2,i
3,love
4,you
5,baby
6,stay
7,me
8,you
9,see
10,my
11,arms
12,hold
13,you
14,baby
15,never
16,leave
17,cause
18,i
19,believe
20,i'm
21,love
22,sweet
23,love
24,hear
25,me
26,calling
27,your
28,name
29,i
30,feel
31,shame
32,i'm
33,love
34,sweet
35,love
36,you
37,ever
38,go
39,away
40,it'll
41,always
42,way
43,your
44,heart
45,called
46,me
47,closer
48,you
49,i
50,you
51,need
52,trust
53,we're
54,feeling
55,never
56,leave
57,'cause
58,baby
59,i
60,believe
61,love
62,sweet
63,love
64,hear
65,me
66,calling
67,your
68,name
69,i
70,feel
71,shame
72,i'm
73,love
74,sweet
75,love
76,you
77,ever
78,go
79,away
80,it'll
81,always
82,way
83,there's
84,stronger
85,love
86,world
87,oh
88,baby
89,you're
90,my
91,man
92,i'm
93,your
94,girl
95,i'll
96,never
97,go
98,wait
99,see
100,can't
101,wrong
102,you
103,know
104,you
105,belong
106,oh
107,sweetest
108,dream
109,lovely
110,baby
111,stay
112,right
113,never
114,fear
115,i
116,you
117,need
118,never
119,leave
120,'cause
121,baby
122,i
123,believe
124,love
125,sweet
126,love
127,hear
128,me
129,calling
130,your
131,name
132,i
133,feel
134,shame
135,i'm
136,love
137,sweet
138,love
139,you
140,ever
141,go
142,away
143,it'll
144,always
145,way
146,sweet
147,love
148,oh
149,sweet
150,love
151,oh
152,my
153,heart
154,i
155,love
156,you
157,sweet
158,sweet
159,ooh
160,sweet
161,oh
162,oh
163,love
164,sweet
165,love
166,love
167,love
168,oh
169,baby
170,sweeter
171,love
172,sweet
173,love
174,oh
175,sweeter
176,love
177,oh
178,sweet
179,love
180,nobody
181,know
182,nobody
183,know
184,sweet
185,sweet
186,love
187,ah
188,sweet
189,love
190,me
191,sweetly
192,baby
193,leave
194,me
195,sweetly
196,baby
197,sweet
198,love
199,nobody
200,know
201,sweet
202,love
