,Wish You Were Here_Incubus
0,i
1,dig
2,my
3,toes
4,sand
5,ocean
6,looks
7,like
8,thousand
9,diamonds
10,strewn
11,across
12,blue
13,blanket
14,i
15,lean
16,against
17,wind
18,pretend
19,i
20,weightless
21,moment
22,i
23,happy–happy
24,i
25,wish
26,you
27,i
28,wish
29,you
30,i
31,wish
32,you
33,i
34,wish
35,you
36,i
37,lay
38,my
39,head
40,onto
41,sand
42,sky
43,resembles
44,backlit
45,canopy
46,holes
47,punched
48,i'm
49,counting
50,ufos
51,i
52,signal
53,my
54,lighter
55,moment
56,i
57,happy–happy
58,i
59,wish
60,you
61,i
62,wish
63,you
64,i
65,wish
66,you
67,i
68,wish
69,you
70,world's
71,roller
72,coaster
73,i
74,strapped
75,maybe
76,i
77,hold
78,care
79,my
80,hands
81,busy
82,air
83,saying
84,i
85,wish
86,you
87,i
88,wish
89,you
90,i
91,wish
92,you
93,i
94,wish
95,you
96,i
97,wish
98,you
99,wish
100,you
